Date,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonium_mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL
01/01/2005,0,0.1,24.8051371179797,0,252.59041410873,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
02/01/2005,0,0.1,24.8764918925008,0,251.344251726306,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
03/01/2005,0,0.1,24.9458110794992,0,250.106942079986,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
04/01/2005,0,0.1,25.0130741590243,0,248.878851439682,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
05/01/2005,0.000878054372052767,0.1,25.0782612197774,39.8038356645352,247.660343346284,0,8.11813054594981,32.4725221837992,2.44383333090851,0,400,25,21.6483481225328,73.0631749135483,1.02898245511937,2.9583245584682,0.01375,0.011,0.01375,0.01375,0,0,0,0
06/01/2005,0.0067604220640216,0.1,25.1413529650052,39.9150247884439,246.451778504046,0,8.13214598173662,32.5285839269465,2.44824291855498,0,400,25,21.6857226179643,73.1893138356296,1.0308391236021,2.96366248035603,0.01375,0.011,0.01375,0.01375,0,0,0,0
07/01/2005,0,0.1,25.2023307182122,0,245.253514673805,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
08/01/2005,0,0.1,25.2611764286895,0,244.065906567085,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
09/01/2005,0,0.1,25.317872676858,0,242.889305741087,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
10/01/2005,0,0.1,25.3724026794253,0,241.724060494622,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
11/01/2005,0,0.1,25.4247502943533,0,240.570515765012,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
12/01/2005,0,0.1,25.4749000256372,0,239.429013025974,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
13/01/2005,0,0.1,25.5228370278924,0,238.299890186543,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
14/01/2005,0,0.1,25.5685471107489,0,237.18348149104,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
15/01/2005,0,0.1,25.6120167430522,0,236.08011742013,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
16/01/2005,0,0.1,25.6532330568687,0,234.990124592991,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
17/01/2005,0.0218243647320678,0.1,25.6921838512949,39.1267453601468,233.91382567063,0,7.89168642418136,31.5667456967254,2.38325439680235,0,400,25,21.0444971311503,71.0251778176322,1.00347553549573,2.88499216455021,0.01375,0.011,0.01375,0.01375,0,0,0,0
18/01/2005,0.035579605775389,0.1,25.7288575960691,39.6340425370768,232.851539260369,0,7.86418248480852,31.4567299392341,2.35488858954127,0,400,25,20.9711532928227,70.7776423632767,0.991532037701586,2.85065460839206,0.01375,0.011,0.01375,0.01375,0,0,0,0
19/01/2005,0.00151592097378274,0.1,25.7632434349846,39.8135244884814,231.803579821526,0,8.11935182627917,32.4774073051167,2.44421757459063,0,400,25,21.6516048700778,73.0741664365125,1.0291442419329,2.95878969555708,0.01375,0.011,0.01375,0.01375,0,0,0,0
20/01/2005,0,0.1,25.7953311891033,0,230.770257572335,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
21/01/2005,0.00544338339628546,0.1,25.8251113597692,39.9038240914965,229.751878398107,0,8.13073412918023,32.5229365167209,2.44779871634208,0,400,25,21.6819576778139,73.176607162622,1.0306520910914,2.96312476188778,0.01375,0.011,0.01375,0.01375,0,0,0,0
22/01/2005,0.0199750053032781,0.1,25.8525751314198,39.7057557166937,228.74874376069,0,7.98691175255544,31.9476470102218,2.39814798486704,0,400,25,21.2984313401478,71.882205772999,1.00974651994402,2.90302124483905,0.01375,0.011,0.01375,0.01375,0,0,0,0
23/01/2005,0.025531274499368,0.1,25.8777143741959,39.0430606122665,227.761150609223,0,7.88524416021738,31.5409766408695,2.39330830269031,0,400,25,21.0273177605797,70.9671974419565,1.0077087590275,2.89716268220406,0.01375,0.011,0.01375,0.01375,0,0,0,0
24/01/2005,0.0619357032957937,0.1,25.9005216463481,39.7140203452715,226.789391292236,0,7.88500970681755,31.5400388272702,2.36458866614537,0,400,25,21.0266925515135,70.9650873613579,0.995616280482262,2.8623968063865,0.01375,0.011,0.01375,0.01375,0,0,0,0
25/01/2005,0.0649611307684714,0.1,25.9209901964399,39.5533290299019,225.833753471109,0,7.94783407089656,31.7913362835862,2.43808214918651,0,400,25,21.1942241890575,71.530506638069,1.02656090492064,2.95136260164683,0.01375,0.011,0.01375,0.01375,0,0,0,0
26/01/2005,0.111507470772254,0.1,25.9391139653462,39.4832872219795,224.894520034914,0,7.92800657259575,31.712026290383,2.4633230163993,0,400,25,21.1413508602553,71.3520591533617,1.03718863848392,2.98191733564126,0.01375,0.011,0.01375,0.01375,0,0,0,0
27/01/2005,0.0646723426789397,0.1,25.9548875880467,38.8381937856766,223.971969016682,0,7.66275157269481,30.6510062907792,2.3178163488751,0,400,25,20.4340041938528,68.9647641542533,0.975922673210567,2.80577768548038,0.01375,0.011,0.01375,0.01375,0,0,0,0
