Date_Time,DO_mg/L,DOsat,Temp _DegC,pH,Cond_uS/cm,TSS_mg/L,Turbidity_ntu,FP_mg/L,TP_mg/L,NOx_mg/L,NH_mg/L,TKN_mg/L,TN_mg/L,TOC_mg/L,DOC_mg/L,Chla_mg/m3,SiO2_mg/L,ENT_cfu/100mL,FC_cfu/100mL
16/07/1985,10,90,9.2,7.4,21.6,,2.6,0.004,0.01,0.08,,0.3,0.38, ,,2.27,,,
12/08/1985,10,92,8.4,7.7,38.3,,3.6,0.004,0.011,0.1,0.02,0.45,0.55, ,,2.51,,,
16/09/1985,9,100,15.2,8.6,41,,4.2,0.004,0.022,0.1,0.01,0.5,0.6,4,,12.11,,,
14/10/1985,7,82,16.7,8.2,41.5,,2.2,0.006,0.019,0.04,0.02,0.7,0.74,3,,7.44,,,
18/11/1985,7,89,20.4,6.8,10.4,,8.3,0.013,0.035,0.14,0.01,0.45,0.59,2,,4.31,,,
16/12/1985,8,94,22.1,6.7,8.5,,4.5,0.009,0.015,0.07,0.03,0.3,0.37,3,,2.72,,,
20/01/1986,7,90,24,7.2,20,,6.4,0.006,0.022,0.1,0.02,0.5,0.6, ,,8.97,,,
17/02/1986,7,87,23,7.5,33,,1.6,0.004,0.015,0.02,0.01,0.4,0.42,2,,3.63,,,
24/03/1986,8,97,23.8,7.7,35.8,,2.4,0.007,0.015,0.02,0.03,0.4,0.42,9,,5.2,,,
21/04/1986,7,85,17.4,7.6,61.3,,2.6,0.004,0.01,0.04,0.04,0.45,0.49, ,,1.8,,,
19/05/1986,8,81,14.3,7.3,55,,1.9,0.009,0.015,0.22,0.03,0.35,0.57,5,,3.39,,,
23/06/1986,10,93,10.3,7.8,54,,1.2,0.007,0.013,0.31,0.01,0.4,0.71,5,,3.16,,,
25/08/1986,9,96,12.5,7.4,25.8,,5.8,0.012,0.013,0.25,0.01,0.3,0.55,4,,1.77,,,
22/09/1986,10,101,14.4,8,37.9,,4.7,0.009,0.051,0.08,0.05,0.65,0.73,4,,32.9,,,
