Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
15/10/2013 00:00,,21.1,,9,0.01,0.01,0.34,0.019,,0.005,,,,22.4,,,
15/10/2013 00:00,,,,,0.01,0.01,0.35,0.018,,0.004,,,,22.7,,,
6/11/2013 00:00,,22.4,,8,0.03,0.02,0.29,0.018,,0.005,,,,4.6,,,
6/11/2013 00:00,,,,,0.02,0.02,0.3,0.019,,0.005,,,,4.9,,,
5/06/2014 00:00,,16.8,,8.9,0.03,0.3,0.55,0.021,,0.006,,,,6.2,,,
5/06/2014 00:00,,,,,0.03,0.3,0.55,0.021,,0.006,,,,6.7,,,
3/03/2015 00:00,,25.7,,7.3,0.04,0.12,0.5,0.021,,0.006,,,,7.6,,,
3/03/2015 00:00,,,,,0.04,0.12,0.51,0.022,,0.006,,,,8.8,,,
26/03/2015 00:00,,23.9,,8,0.02,0.17,0.47,0.015,,0.005,,,,4.4,,,
26/03/2015 00:00,,,,,0.02,0.17,0.47,0.014,,0.005,,,,4.4,,,
17/04/2015 00:00,,,,,0.01,0.23,0.57,0.014,,0.006,,,,5.2,,,
17/04/2015 00:00,,21.8,,8.1,0.02,0.24,0.55,0.014,,0.005,,,,5.5,,,
31/10/2017 00:00,,22.1,,8.7,0.01,0.24,0.54,0.016,,0.008,,,,10,,,
31/10/2017 00:00,,,,,0.01,0.24,0.56,0.019,,0.007,,,,10.3,,,
5/01/2018 00:00,,27.3,,7.6,0.02,0.02,0.33,0.016,,0.006,,,,2.3,,,
5/01/2018 00:00,,,,,0.02,0.02,0.32,0.02,,0.008,,,,2.5,,,
31/01/2018 00:00,,26,,7,0.01,0.01,0.27,0.014,,0.004,,,,5.1,,,
31/01/2018 00:00,,,,,0.01,0.01,0.29,0.015,,0.006,,,,6.3,,,
15/02/2018 00:00,,27.2,,7.3,0.01,0.01,0.29,0.013,,0.006,,,,2.1,,,
15/02/2018 00:00,,,,,0.01,0.01,0.29,0.013,,0.006,,,,2,,,
6/03/2018 00:00,,23.3,,7.8,0.03,0.02,0.33,0.016,,0.005,,,,5.3,,,
6/03/2018 00:00,,,,,0.03,0.02,0.32,0.015,,0.005,,,,5,,,
27/03/2018 00:00,,24,,9,0.01,0.06,0.35,0.014,,0.005,,,,3.7,,,
27/03/2018 00:00,,,,,0.01,0.06,0.34,0.015,,0.007,,,,3.5,,,
20/04/2018 00:00,,23.8,,8.4,0.02,0.05,0.31,0.009,,0.005,,,,1.5,,,
20/04/2018 00:00,,,,,0.02,0.05,0.31,0.009,,0.006,,,,1.9,,,
11/05/2018 00:00,,16.3,,8.7,0.02,0.02,0.23,0.011,,0.004,,,,1.8,,,
11/05/2018 00:00,,,,,0.02,0.02,0.23,0.011,,0.004,,,,1.8,,,
31/05/2018 00:00,,15.4,,9.4,0.01,0.03,0.28,0.011,,0.004,,,,2.6,,,
31/05/2018 00:00,,,,,0.01,0.03,0.28,0.011,,0.004,,,,2.3,,,
19/06/2018 00:00,,13.4,,10.4,0.005,0.05,0.33,0.016,,0.009,,,,13.1,,,
19/06/2018 00:00,,,,,0.005,0.05,0.33,0.014,,0.009,,,,12.7,,,
9/07/2018 00:00,,12.5,,10.2,0.02,0.24,0.52,0.01,,0.004,,,,2.9,,,
9/07/2018 00:00,,,,,0.02,0.23,0.52,0.01,,0.004,,,,2,,,
3/08/2018 00:00,,11.4,,10.6,0.01,0.21,0.61,0.015,,0.005,,,,10.5,,,
3/08/2018 00:00,,,,,0.01,0.21,0.59,0.014,,0.006,,,,10.2,,,
23/08/2018 00:00,,13.1,,9.9,0.04,0.68,1.16,0.025,,0.007,,,,15.2,,,
23/08/2018 00:00,,,,,0.04,0.69,1.14,0.021,,0.006,,,,12.3,,,
14/09/2018 00:00,,20,,9.2,0.02,0.16,0.54,0.021,,0.006,,,,5.7,,,
14/09/2018 00:00,,,,,0.02,0.16,0.57,0.022,,0.006,,,,6,,,
4/10/2018 00:00,,19.1,,9,0.04,0.34,0.76,0.019,,0.008,,,,5.6,,,
4/10/2018 00:00,,,,,0.04,0.35,0.75,0.018,,0.008,,,,5.4,,,
29/10/2018 00:00,,20.6,,8.1,0.02,0.18,0.52,0.016,,0.006,,,,4,,,
29/10/2018 00:00,,,,,0.03,0.18,0.52,0.016,,0.006,,,,4.5,,,
16/11/2018 00:00,,21.9,,7.8,0.02,0.08,0.36,0.013,,0.006,,,,2.5,,,
16/11/2018 00:00,,,,,0.02,0.08,0.38,0.013,,0.006,,,,2.3,,,
11/12/2018 00:00,,25,,7.9,0.03,0.12,0.49,0.017,,0.006,,,,3.6,,,
11/12/2018 00:00,,,,,0.03,0.11,0.45,0.017,,0.006,,,,3,,,
24/12/2018 00:00,,23.3,,7.7,0.02,0.53,1.05,0.032,,0.008,,,,7.8,,,
24/12/2018 00:00,,,,,0.02,0.53,1.07,0.034,,0.009,,,,8.4,,,
