Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
14/05/2008 00:00,,13.7,,3.1,0.05,0.03,0.15,0.016,,0.004,,,,3.7,11,4,
14/05/2008 00:00,,,,,0.05,0.03,0.15,0.015,,0.003,,,,3.6,10,5,
24/06/2008 00:00,,10.9,,7.5,0.04,0.02,0.16,0.021,,0.005,,,,8,3,7,
24/06/2008 00:00,,,,,0.04,0.02,0.16,0.021,,0.006,,,,8.8,5,4,
22/07/2008 00:00,,8.5,,8,0.04,0.02,0.17,0.02,,0.006,,,,6.9,7,1,
22/07/2008 00:00,,,,,0.04,0.02,0.15,0.019,,0.007,,,,5.9,5,2,
4/08/2008 00:00,,9.6,,7.4,0.04,0.02,0.13,0.013,,0.003,,,,3.9,3,2,
4/08/2008 00:00,,,,,0.03,0.02,0.15,0.013,,0.003,,,,4,1,0.5,
10/09/2008 00:00,,14.8,,8.8,0.02,0.04,0.17,0.016,,0.004,,,,3.1,0.5,3,
10/09/2008 00:00,,,,,0.02,0.04,0.18,0.018,,0.004,,,,3,4,2,
9/10/2008 00:00,,15.2,,3.9,0.01,0.11,0.14,0.016,,0.002,,,,3.6,100,380,
9/10/2008 00:00,,,,,0.01,0.11,0.14,0.018,,0.003,,,,4,110,300,
13/11/2008 00:00,,21.4,,2.9,0.01,0.02,0.12,0.014,,0.003,,,,3.2,180,31,
13/11/2008 00:00,,,,,0.01,0.02,0.11,0.014,,0.003,,,,3.1,130,39,
12/12/2008 00:00,,18.9,,3.7,0.02,0.02,0.13,0.012,,0.005,,,,2.1,360,95,
12/12/2008 00:00,,,,,0.02,0.02,0.13,0.011,,0.004,,,,2,400,89,
15/01/2009 00:00,,23.9,,1.2,0.02,0.01,0.14,0.011,,0.004,,,,1.9,120,100,
15/01/2009 00:00,,,,,0.02,0.01,0.13,0.011,,0.004,,,,1.6,140,72,
9/02/2009 00:00,,23.8,,1.5,0.05,0.04,0.19,0.023,,0.004,,,,4.5,130,16,
9/02/2009 00:00,,,,,0.05,0.01,0.14,0.02,,0.004,,,,3.4,140,16,
17/03/2009 00:00,,19.3,,3.2,0.03,0.02,0.11,0.017,,0.007,,,,3.2,25,30,
17/03/2009 00:00,,,,,0.03,0.03,0.12,0.016,,0.007,,,,3.1,24,28,
15/04/2009 00:00,,19.3,,3.3,0.03,0.02,0.17,0.028,,0.01,,,,2.8,36,40,
15/04/2009 00:00,,,,,0.04,0.02,0.18,0.027,,0.011,,,,3.1,37,43,
7/05/2009 00:00,,14.1,,2.6,0.05,0.02,0.11,0.026,,0.014,,,,2.1,11,390,
7/05/2009 00:00,,,,,0.05,0.02,0.11,0.025,,0.012,,,,1.6,15,350,
10/06/2009 00:00,,11.4,,3.7,0.04,0.04,0.14,0.012,,0.004,,,,2.4,2,3,
10/06/2009 00:00,,,,,0.04,0.04,0.15,0.013,,0.004,,,,1.7,5,4,
