Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
09/03/2018 00:00,,22.7,,8.5,0.01,0.22,0.49,0.017,,0.006,,,,6.7,,390,71
27/03/2018 00:00,,25.6,,9.2,0.06,0.22,0.6,0.017,,0.006,,,,3.6,,77,62
20/04/2018 00:00,,23.4,,10.2,0.01,0.55,0.82,0.014,,0.008,,,,3.4,,74,16
11/05/2018 00:00,,16.3,,10.3,0.01,0.41,0.64,0.012,,0.007,,,,1.1,,200,23
31/05/2018 00:00,,16,,10.7,0.01,0.39,0.65,0.014,,0.006,,,,2.3,,76,20
19/06/2018 00:00,,13.3,,10.6,0.01,0.41,0.72,0.02,,0.008,,,,13.4,,68,42
09/07/2018 00:00,,11.7,,10.8,0.01,0.51,0.74,0.012,,0.004,,,,1.3,,41,51
03/08/2018 00:00,,12.6,,11.2,0.02,0.86,1.2,0.016,,0.007,,,,5.2,,1500,45
23/08/2018 00:00,,13.9,,10.5,0.03,1.11,1.48,0.025,,0.007,,,,7.3,,62,90
14/09/2018 00:00,,21,,9.9,0.02,0.41,0.76,0.027,,0.007,,,,4.5,,57,57
04/10/2018 00:00,,18.7,,10.1,0.04,0.87,1.25,0.027,,0.01,,,,52.8,,45,46
29/10/2018 00:00,,21.2,,7.8,0.05,0.42,0.74,0.023,,0.009,,,,3.3,,46,32
16/11/2018 00:00,,22.3,,8.4,0.05,0.56,0.89,0.022,,0.009,,,,3.6,,460,46
11/12/2018 00:00,,24.5,,7.4,0.03,0.35,0.69,0.024,,0.008,,,,3.4,,65,35
24/12/2018 00:00,,24.5,,7.3,0.02,0.68,1.14,0.028,,0.009,,,,4.5,,170,55
14/01/2019 00:00,,27.9,,8.2,0.01,0.18,0.54,0.026,,0.008,,,,5.7,,95,77
08/02/2019 00:00,,27.6,,6.9,0.02,0.37,0.66,0.015,,0.01,,,,1.2,,29,180
01/03/2019 00:00,,23.8,,7.8,0.02,0.66,0.94,0.015,,0.009,,,,1.9,,40,71
22/03/2019 00:00,,23.5,,6.8,0.01,0.15,0.53,0.022,,0.008,,,,9,,500,530
12/04/2019 00:00,,,,,0.19,0.41,0.73,0.011,,0.007,,,,2.8,,21,36
03/05/2019 00:00,,19.8,,8.5,0.01,0.68,1.57,0.039,,0.008,,,,88.2,,55,34
23/05/2019 00:00,,19.4,,11.4,0.01,0.87,1.12,0.016,,0.006,,,,5.3,,91,28
10/06/2019 00:00,,14,,10.1,0.02,0.81,1.07,0.011,,0.006,,,,2.2,,36,45
