Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,12/03/1980 00:00:00,17/02/2017 00:00:00,538.000
WQ_OXY_SAT,09/11/1981 00:00:00,17/02/2017 00:00:00,529.000
TEMP,12/03/1980 00:00:00,17/03/2017 00:00:00,661.000
WQ_CAR_PH,12/03/1980 00:00:00,17/02/2017 00:00:00,650.000
COND,09/11/1981 00:00:00,17/02/2017 00:00:00,633.000
WQ_DIAG_TOT_TSS,12/03/1980 00:00:00,17/02/2017 00:00:00,249.000
WQ_DIAG_TOT_TURBIDITY,27/09/1982 00:00:00,17/02/2017 00:00:00,381.000
WQ_PHS_FRP,12/03/1980 00:00:00,27/01/2017 00:00:00,748.000
WQ_DIAG_TOT_TP,12/03/1980 00:00:00,27/01/2017 00:00:00,813.000
WQ_NIT_NIT,12/03/1980 00:00:00,17/02/2017 00:00:00,803.000
WQ_NIT_AMM,12/03/1980 00:00:00,17/02/2017 00:00:00,802.000
WQ_DIAG_TOT_TKN,12/03/1980 00:00:00,24/05/1994 00:00:00,101.000
WQ_DIAG_TOT_TN,12/03/1980 00:00:00,17/02/2017 00:00:00,804.000
WQ_DIAG_TOT_TOC,12/03/1980 00:00:00,17/04/2012 00:00:00,21.000
WQ_DIAG_PHY_TCHA,04/07/2001 00:00:00,17/04/2012 00:00:00,11.000
WQ_RSI_SIL,12/03/1980 00:00:00,17/02/2017 00:00:00,796.000
ENT,12/03/1980 00:00:00,06/09/2001 00:00:00,232.000
FC,14/08/1996 00:00:00,17/03/2017 00:00:00,283.000
