FVC file = HN_Cal_2014.fvc, Simulation Execution: 14/02/2020 17:01:03
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.31208690000000E+06, 0.63096101000000E+07,  0.0000000E+00,  0.0000000E+00,  0.6206185E+02,        4658,           0,           1,           1
, 0.31211400000000E+06, 0.63095900000000E+07,  0.0000000E+00,  0.3374048E+02,  0.6206185E+02,        4659,           0,           1,           1
, 0.31213730000000E+06, 0.63095739000000E+07,  0.0000000E+00,  0.6206185E+02,  0.6206185E+02,,,           1,           1
, 0.29693364000000E+06, 0.62992746400000E+07,  0.0000000E+00,  0.0000000E+00,  0.7616548E+02,        5816,           0,           2,           2
, 0.29695172700000E+06, 0.62993081500000E+07,  0.0000000E+00,  0.3807965E+02,  0.7616548E+02,        5815,           0,           2,           2
, 0.29697105000000E+06, 0.62993409700000E+07,  0.0000000E+00,  0.7616548E+02,  0.7616548E+02,,,           2,           2
, 0.28598920000000E+06, 0.62785455000000E+07,  0.0000000E+00,  0.0000000E+00,  0.5961963E+02,        7957,           0,           3,           3
, 0.28594490000000E+06, 0.62785854000000E+07,  0.0000000E+00,  0.5961963E+02,  0.5961963E+02,,,           3,           3
, 0.29204835000000E+06, 0.62103242700000E+07,  0.1258888E+03,  0.0000000E+00,  0.5960672E+02,       10530,           0,           4,           4
, 0.29199121000000E+06, 0.62103073000000E+07,  0.0000000E+00,  0.5960672E+02,  0.5960672E+02,,,           4,           4
, 0.27909140000000E+06, 0.62493758000000E+07,  0.1214205E+02,  0.0000000E+00,  0.5061472E+02,        9722,           0,           5,           5
, 0.27906920000000E+06, 0.62493879500000E+07,  0.1242447E+02,  0.2530736E+02,  0.5061472E+02,        9721,           0,           5,           5
, 0.27904700000000E+06, 0.62494001000000E+07,  0.0000000E+00,  0.5061472E+02,  0.5061472E+02,,,           5,           5
, 0.34641200000000E+06, 0.62868030000000E+07,  0.0000000E+00,  0.0000000E+00,  0.3724476E+04,           2,           0,           6,           6
, 0.34617166700000E+06, 0.62862306700000E+07,  0.0000000E+00,  0.6207427E+03,  0.3724476E+04,           3,           0,           6,           6
, 0.34593133300000E+06, 0.62856583300000E+07,  0.0000000E+00,  0.1241495E+04,  0.3724476E+04,           4,           0,           6,           6
, 0.34569100000000E+06, 0.62850860000000E+07,  0.0000000E+00,  0.1862238E+04,  0.3724476E+04,           5,           0,           6,           6
, 0.34545066700000E+06, 0.62845136700000E+07,  0.0000000E+00,  0.2482980E+04,  0.3724476E+04,           6,           0,           6,           6
, 0.34521033300000E+06, 0.62839413300000E+07,  0.0000000E+00,  0.3103733E+04,  0.3724476E+04,           7,           0,           6,           6
, 0.34497000000000E+06, 0.62833690000000E+07,  0.0000000E+00,  0.3724476E+04,  0.3724476E+04,,,           6,           6
, 0.34164200000000E+06, 0.62802240000000E+07,  0.0000000E+00,  0.0000000E+00,  0.1346291E+03,         221,           0,           7,           7
, 0.34161700000000E+06, 0.62802865000000E+07,  0.0000000E+00,  0.6731456E+02,  0.1346291E+03,         220,           0,           7,           7
, 0.34159200000000E+06, 0.62803490000000E+07,  0.0000000E+00,  0.1346291E+03,  0.1346291E+03,,,           7,           7
, 0.34488300000000E+06, 0.62786660000000E+07,  0.0000000E+00,  0.0000000E+00,  0.1654630E+03,         315,           0,           8,           8
, 0.34482450000000E+06, 0.62786075000000E+07,  0.0000000E+00,  0.8273149E+02,  0.1654630E+03,         317,           0,           8,           8
, 0.34476600000000E+06, 0.62785490000000E+07,  0.0000000E+00,  0.1654630E+03,  0.1654630E+03,,,           8,           8
, 0.34032500000000E+06, 0.62768490000000E+07,  0.0000000E+00,  0.0000000E+00,  0.3020546E+03,         410,           0,           9,           9
, 0.34022950000000E+06, 0.62769660000000E+07,  0.0000000E+00,  0.1510273E+03,  0.3020546E+03,         409,           0,           9,           9
, 0.34013400000000E+06, 0.62770830000000E+07,  0.0000000E+00,  0.3020546E+03,  0.3020546E+03,,,           9,           9
, 0.34032500000000E+06, 0.62751910000000E+07,  0.0000000E+00,  0.0000000E+00,  0.3077028E+03,         659,           0,          10,          10
, 0.34017950000000E+06, 0.62751410000000E+07,  0.0000000E+00,  0.1538514E+03,  0.3077028E+03,         658,           0,          10,          10
, 0.34003400000000E+06, 0.62750910000000E+07,  0.0000000E+00,  0.3077028E+03,  0.3077028E+03,,,          10,          10
, 0.34325000000000E+06, 0.62739580000000E+07,  0.0000000E+00,  0.0000000E+00,  0.4580699E+03,         693,           0,          11,          11
, 0.34309733300000E+06, 0.62739606700000E+07,  0.0000000E+00,  0.1526904E+03,  0.4580699E+03,         694,           0,          11,          11
, 0.34294466700000E+06, 0.62739633300000E+07,  0.0000000E+00,  0.3053795E+03,  0.4580699E+03,         695,           0,          11,          11
, 0.34279200000000E+06, 0.62739660000000E+07,  0.0000000E+00,  0.4580699E+03,  0.4580699E+03,,,          11,          11
, 0.32584600000000E+06, 0.62870140000000E+07,  0.0000000E+00,  0.0000000E+00,  0.1755591E+03,        2168,           0,          12,          12
, 0.32581100000000E+06, 0.62870945000000E+07,  0.0000000E+00,  0.8777956E+02,  0.1755591E+03,        2167,           0,          12,          12
, 0.32577600000000E+06, 0.62871750000000E+07,  0.0000000E+00,  0.1755591E+03,  0.1755591E+03,,,          12,          12
, 0.32604900000000E+06, 0.62785730000000E+07,  0.0000000E+00,  0.0000000E+00,  0.1475805E+03,        3006,           0,          13,          13
, 0.32598300000000E+06, 0.62785400000000E+07,  0.0000000E+00,  0.7379025E+02,  0.1475805E+03,        3005,           0,          13,          13
, 0.32591700000000E+06, 0.62785070000000E+07,  0.0000000E+00,  0.1475805E+03,  0.1475805E+03,,,          13,          13
, 0.32484900000000E+06, 0.62819640000000E+07,  0.0000000E+00,  0.0000000E+00,  0.1342721E+03,        2715,           0,          14,          14
, 0.32473900000000E+06, 0.62820410000000E+07,  0.0000000E+00,  0.1342721E+03,  0.1342721E+03,,,          14,          14
, 0.33420200000000E+06, 0.62839690000000E+07,  0.0000000E+00,  0.0000000E+00,  0.3862188E+03,         726,           0,          15,          15
, 0.33421500000000E+06, 0.62843550000000E+07,  0.0000000E+00,  0.3862188E+03,  0.3862188E+03,,,          15,          15
, 0.33856700000000E+06, 0.62934240000000E+07,  0.0000000E+00,  0.0000000E+00,  0.1126987E+03,        1302,           0,          16,          16
, 0.33866800000000E+06, 0.62933740000000E+07,  0.0000000E+00,  0.1126987E+03,  0.1126987E+03,,,          16,          16
, 0.32972000000000E+06, 0.62745750000000E+07,  0.4998316E+00,  0.0000000E+00,  0.2155696E+03,        1867,           0,          17,          17
, 0.32963778400000E+06, 0.62745053000000E+07,  0.0000000E+00,  0.1077848E+03,  0.2155696E+03,        1866,           0,          17,          17
, 0.32955556800000E+06, 0.62744356000000E+07,  0.0000000E+00,  0.2155696E+03,  0.2155696E+03,,,          17,          17
, 0.33419549900000E+06, 0.62764513800000E+07,  0.0000000E+00,  0.0000000E+00,  0.1700270E+03,        1570,           0,          18,          18
, 0.33415225000000E+06, 0.62763781900000E+07,  0.0000000E+00,  0.8501324E+02,  0.1700270E+03,        1571,           0,          18,          18
, 0.33410900000000E+06, 0.62763050000000E+07,  0.0000000E+00,  0.1700270E+03,  0.1700270E+03,,,          18,          18
, 0.33652107700000E+06, 0.62762261800000E+07,  0.0000000E+00,  0.0000000E+00,  0.1310851E+03,        1518,           0,          19,          19
, 0.33646703800000E+06, 0.62761890900000E+07,  0.0000000E+00,  0.6554298E+02,  0.1310851E+03,        1519,           0,          19,          19
