Date,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonium_mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL
01/01/2005,0,0,24.8051371179797,0,252.59041410873,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
02/01/2005,0,0,24.8764918925008,0,251.344251726306,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
03/01/2005,0,0,24.9458110794992,0,250.106942079986,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
04/01/2005,0,0,25.0130741590243,0,248.878851439682,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
05/01/2005,0.00909890361980097,0.115922205164798,25.0782612197774,38.9172900487937,247.660343346284,0,7.97864152064018,31.9145660825607,2.40285767416206,0,400,25,21.2763773883738,71.8077736857616,1.0117295470156,2.90872244766986,0.01375,0.011,0.01375,0.01375,0,0,0,0
06/01/2005,0.00816027362143554,0.11889446178167,25.1413529650052,38.7151765988464,246.451778504046,0,7.95443282442261,31.8177312976904,2.39510800848208,0,400,25,21.211820865127,71.5898954198035,1.00846652988719,2.89934127342568,0.01375,0.011,0.01375,0.01375,0,0,0,0
07/01/2005,0.000390812489195756,0.11889446178167,25.2023307182122,38.7151765988465,245.253514673805,0,7.9544328244226,31.8177312976904,2.39510800848208,0,400,25,21.2118208651269,71.5898954198034,1.00846652988719,2.89934127342568,0.01375,0.011,0.01375,0.01375,0,0,0,0
08/01/2005,0,0,25.2611764286895,0,244.065906567085,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
09/01/2005,0,0,25.317872676858,0,242.889305741087,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
10/01/2005,0.000411459484157889,0.196374077662019,25.3724026794253,33.4465627189827,241.724060494622,0,7.31679362003984,29.2671744801594,2.19171377765985,0,400,25,19.5114496534396,65.8511425803586,0.922826853751514,2.6531272045356,0.01375,0.011,0.01375,0.01375,0,0,0,0
11/01/2005,0,0,25.4247502943533,0,240.570515765012,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
12/01/2005,0,0,25.4749000256372,0,239.429013025974,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
13/01/2005,0,0,25.5228370278924,0,238.299890186543,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
14/01/2005,0,0,25.5685471107489,0,237.18348149104,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
15/01/2005,0,0,25.6120167430522,0,236.08011742013,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
16/01/2005,0.000543200394140811,0.114556044786728,25.6532330568687,39.0101889545025,234.990124592991,0,8.01889861175387,32.0755944470155,2.41282050038218,0,400,25,21.3837296313437,72.1700875057849,1.01592442121355,2.92078271098895,0.01375,0.011,0.01375,0.01375,0,0,0,0
17/01/2005,0.00693146533097245,0.115069257444589,25.6921838512949,38.975290493768,233.91382567063,0,7.96800726427398,31.8720290570959,2.40511920282492,0,400,25,21.2480193713973,71.7120653784658,1.01268176961049,2.91146008763016,0.01375,0.011,0.01375,0.01375,0,0,0,0
18/01/2005,0.0140115395479084,0.117396852173679,25.7288575960691,38.8170140521898,232.851539260369,0,7.95288201472604,31.8115280589041,2.39948277514945,0,400,25,21.2076853726028,71.5759381325343,1.01030853690503,2.90463704360197,0.01375,0.011,0.01375,0.01375,0,0,0,0
19/01/2005,0.00163573476159837,0.117396852173679,25.7632434349846,38.8170140521898,231.803579821526,0,7.95288201472604,31.8115280589042,2.39948277514945,0,400,25,21.2076853726028,71.5759381325344,1.01030853690503,2.90463704360197,0.01375,0.011,0.01375,0.01375,0,0,0,0
20/01/2005,0,0,25.7953311891033,0,230.770257572335,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
21/01/2005,0,0,25.8251113597692,0,229.751878398107,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
22/01/2005,0.0221115030624192,0.110124824632325,25.8525751314198,39.3115119250019,228.74874376069,0,8.00608991680301,32.024359667212,2.42057209582443,0,400,25,21.3495731114747,72.0548092512271,1.01918825087344,2.93016622126115,0.01375,0.011,0.01375,0.01375,0,0,0,0
23/01/2005,0.00209296128565035,0.122350105073853,25.8777143741959,38.480192854978,227.761150609223,0,7.89895956847596,31.5958382739038,2.37999187826426,0,400,25,21.0638921826026,71.0906361162837,1.00210184347969,2.88104280000411,0.01375,0.011,0.01375,0.01375,0,0,0,0
24/01/2005,0.00602289308052734,0.117133106931887,25.9005216463481,38.8349487286317,226.789391292236,0,7.96955301611327,31.8782120644531,2.39982108669019,0,400,25,21.2521413763021,71.7259771450195,1.01045098386956,2.90504657862497,0.01375,0.011,0.01375,0.01375,0,0,0,0
25/01/2005,0.00570730113535833,0.114555550773317,25.9209901964399,39.0102225474144,225.833753471109,0,8.00381528156075,32.015261126243,2.40944784797779,0,400,25,21.3435074174953,72.0343375340467,1.01450435704328,2.91670002649942,0.01375,0.011,0.01375,0.01375,0,0,0,0
26/01/2005,0.00601373992842707,0.110212722549234,25.9391139653462,39.3055348666521,224.894520034914,0,8.01335359585794,32.0534143834318,2.42011322343017,0,400,25,21.3689429222879,72.1201823627215,1.01899504144428,2.92961074415231,0.01375,0.011,0.01375,0.01375,0,0,0,0
27/01/2005,0.0192420876994418,0.11141166513538,25.9548875880467,39.2240067707942,223.971969016682,0,8.00979560680992,32.0391824272397,2.41757089436278,0,400,25,21.3594549514931,72.0881604612893,1.01792458710012,2.92653318791284,0.01375,0.011,0.01375,0.01375,0,0,0,0
28/01/2005,0.00359022200645234,0.11141166513538,25.9683063952143,39.2240067707941,223.066373511089,0,8.00979560680991,32.0391824272397,2.41757089436277,0,400,25,21.3594549514931,72.0881604612892,1.01792458710012,2.92653318791283,0.01375,0.011,0.01375,0.01375,0,0,0,0
29/01/2005,0,0,25.9793664145975,0,222.178001593623,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
30/01/2005,0,0,25.9880643721958,0,221.307116241223,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
31/01/2005,0.000434451066034259,0.120434373170563,25.9943976932292,38.6104626244017,220.453975254433,0,7.94591035275824,31.7836414110329,2.39173296364465,0,400,25,21.189094274022,71.5131931748241,1.0070454583767,2.895255692833,0.01375,0.011,0.01375,0.01375,0,0,0,0
01/02/2005,0.00657677435777204,0.122435478445986,25.9983645029001,38.474387465673,219.618831181091,0,7.92948201479636,31.7179280591854,2.38649498704536,0,400,25,21.1452853727903,71.3653381331673,1.00483999454542,2.88891498431807,0.01375,0.011,0.01375,0.01375,0,0,0,0
02/02/2005,0.000225975619549829,0.105957792990954,25.9999636269489,39.5948700766152,218.801931241564,0,7.61195872177181,30.4478348870872,2.43455033175919,0,400,25,20.2985565913915,68.5076284959463,1.02507382389861,2.9470872437085,0.01375,0.011,0.01375,0.01375,0,0,0,0
03/02/2005,0.412800980915227,0.11536862558078,25.9991945920008,38.954933460507,218.00351725557,0,7.55113782973245,30.2045513189298,2.40202555673489,0,400,25,20.1363675459532,67.9602404675921,1.01137918178311,2.90771514762645,0.01375,0.011,0.01375,0.01375,0,0,0,0
04/02/2005,0.0783365243237978,0.157941216755476,25.9960576257065,36.0599972606276,217.22382557059,0,7.20737134356399,28.8294853742559,2.25567765088919,0,400,25,19.2196569161706,64.8663420920759,0.94975901090071,2.73055715633954,0.01375,0.011,0.01375,0.01375,0,0,0,0
05/02/2005,0.0102296899815517,0.350506409893152,25.9905536566747,22.9655641272657,216.463086991908,0,5.60482677738435,22.4193071095374,1.5898802298259,0,400,25,14.9462047396916,50.4434409964592,0.669423254663537,1.92459185715767,0.01375,0.011,0.01375,0.01375,0,0,0,0
06/02/2005,0.00789552239074527,0.458122644353803,25.9826843141968,15.6476601839414,215.721526714289,0,4.7087962605773,18.8351850423092,1.21729336704923,0,400,25,12.5567900282061,42.3791663451957,0.512544575599674,1.47356565484906,0.01375,0.011,0.01375,0.01375,0,0,0,0
07/02/2005,0.00598887951443534,0.5214294064859,25.9724519277653,11.3428003589588,214.999364255309,0,4.18147236930312,16.7258894772125,0.997860667352041,0,400,25,11.1505929848083,37.6332513237281,0.420151859937702,1.20793659732089,0.01375,0.011,0.01375,0.01375,0,0,0,0
08/02/2005,0.00482542582283166,0.550492988512365,25.9598595263838,9.36647678115916,214.296813390382,0,3.93767494903541,15.7506997961416,0.895167361519079,0,400,25,10.5004665307611,35.4390745413187,0.376912573271191,1.08362364815467,0.01375,0.011,0.01375,0.01375,0,0,0,0
09/02/2005,0.00283281408027466,0.576538944025553,25.9449108376702,7.59535180626242,213.614082089472,0,3.72105575367882,14.8842230147153,0.805270397314765,0,400,25,9.92281534314352,33.4895017831094,0.339061219922006,0.974801007275768,0.01375,0.011,0.01375,0.01375,0,0,0,0
10/02/2005,0.00314492875309302,0.588499029115433,25.9276102867536,6.78206602015059,212.951372455532,0,3.62265547781186,14.4906219112474,0.765214003438449,0,400,25,9.6604146074983,32.6038993003068,0.322195369868821,0.926311688372859,0.01375,0.011,0.01375,0.01375,0,0,0,0
11/02/2005,0.0032704730640675,0.459283932499436,25.9079629949642,15.5686925900383,212.308880664676,0,4.81353800617711,19.2541520247084,1.22338839662211,0,400,25,12.8361013498056,43.321842055594,0.515110903840889,1.48094384854255,0.01375,0.011,0.01375,0.01375,0,0,0,0
12/02/2005,0.00433950323814387,0.480561984435881,25.8859747783173,14.1217850583601,211.686796908109,0,4.62326295764311,18.4930518305724,1.15283983029216,0,400,25,12.3287012203816,41.609366618788,0.485406244333543,1.39554295245894,0.01375,0.011,0.01375,0.01375,0,0,0,0
13/02/2005,0.00131448821464661,0.536652099013469,25.8616521457917,10.3076572670841,211.085305335824,0,4.10560053545019,16.4224021418008,0.948912572598247,0,400,25,10.9482680945338,36.9504048190517,0.399542135830841,1.14868364051367,0.01375,0.011,0.01375,0.01375,0,0,0,0
14/02/2005,0.00116388693898625,0.540980625080867,25.8350022974027,10.0133174945011,210.50458400209,0,4.06086899324737,16.2434759729895,0.927703092279504,0,400,25,10.828983981993,36.5478209392263,0.390611828328212,1.12300900644361,0.01375,0.011,0.01375,0.01375,0,0,0,0
15/02/2005,8.53603577097906e-05,0.540980625080866,25.8060331220709,10.013317494501,209.944804812745,0,4.06086899324737,16.2434759729895,0.927703092279503,0,400,25,10.828983981993,36.5478209392263,0.390611828328212,1.12300900644361,0.01375,0.011,0.01375,0.01375,0,0,0,0
16/02/2005,0,0,25.774753195287,0,209.406133474307,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
17/02/2005,0,0,25.7411717765731,0,208.888729444924,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
18/02/2005,0,0,25.7052988067417,0,208.392745887169,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
19/02/2005,0,0,25.6671449049533,0,207.918329622699,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
20/02/2005,0,0,25.6267213655722,0,207.465621088795,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
21/02/2005,0.0253421228150554,0.111705041060844,25.5840401548241,39.2040572078626,207.034754296791,0,7.69366299759066,30.7746519903626,2.41402676818691,0,400,25,20.5164346602418,69.2429669783159,1.01643232344712,2.92224292991047,0.01375,0.011,0.01375,0.01375,0,0,0,0
22/02/2005,0.202189024804288,0.127451690454904,25.5391139072529,38.1332850490666,206.625856792401,0,7.55728594826747,30.2291437930699,2.35982686391964,0,400,25,20.1527625287133,68.0155735344073,0.993611311124057,2.85663251948166,0.01375,0.011,0.01375,0.01375,0,0,0,0
23/02/2005,0.0293974995801182,0.214960295021566,25.4919559219814,32.1826999385335,206.239049617962,0,6.81150577617341,27.2460231046936,2.05736944947436,0,400,25,18.1640154031291,61.3035519855607,0.866260820831308,2.49049985989001,0.01375,0.011,0.01375,0.01375,0,0,0,0
24/02/2005,0.0067540675737964,0.380637482082476,25.4425801587739,20.9166512183916,205.874447276606,0,5.3979379488361,21.5917517953444,1.48395773909128,0,400,25,14.3945011968963,48.581441539525,0.62482431119633,1.79636989468945,0.01375,0.011,0.01375,0.01375,0,0,0,0
25/02/2005,0.00510112177535549,0.477815206033972,25.391001233904,14.3085659896899,205.532157698364,0,4.56850332902089,18.2740133160835,1.14727109033745,0,400,25,12.1826755440557,41.116529961188,0.483061511721033,1.38880184619797,0.01375,0.011,0.01375,0.01375,0,0,0,0
26/02/2005,0.00405709571246881,0.533992924676048,25.3372344158281,10.4884811220287,205.212282208215,0,4.08904220234619,16.3561688093848,0.952668053837508,0,400,25,10.9041125395898,36.8013798211157,0.401123391089477,1.15322974938225,0.01375,0.011,0.01375,0.01375,0,0,0,0
27/02/2005,0.00345293864817464,0.566212970152489,25.2812956206654,8.29751802963073,204.91491549609,0,3.81468645314479,15.2587458125791,0.841780443070317,0,400,25,10.1724972083861,34.3321780783031,0.354433870766449,1.01899737845354,0.01375,0.011,0.01375,0.01375,0,0,0,0
28/02/2005,0.00329279728859459,0.580267547259837,25.2232014074861,7.3418067863311,204.640145588848,0,3.69416996231364,14.7766798492546,0.792448577554052,0,400,25,9.85111989950304,33.2475296608228,0.333662558970127,0.959279857039115,0.01375,0.011,0.01375,0.01375,0,0,0,0
01/03/2005,0.00234531783761588,0.58668508218256,25.1629689734102,6.9054144115859,204.388053824211,0,3.63602486061365,14.5440994424546,0.766358575136677,0,400,25,9.69606629496974,32.7242237455229,0.32267729479439,0.927697222533872,0.01375,0.011,0.01375,0.01375,0,0,0,0
02/03/2005,0.00113039819953472,0.278140027109952,25.1006161485163,27.8864781565233,204.158714826692,0,6.46042983735878,25.8417193494351,1.84516425173835,0,400,25,17.2278128996234,58.1438685362291,0.77691126388983,2.23361988368326,0.01375,0.011,0.01375,0.01375,0,0,0,0
03/03/2005,0.00728382265358844,0.308546982465011,25.0361613905638,25.8188051923792,203.952196485501,0,6.1842672820062,24.7370691280248,1.74174380239832,0,400,25,16.4913794186832,55.6584055380558,0.733365811536135,2.10842670816639,0.01375,0.011,0.01375,0.01375,0,0,0,0
04/03/2005,0.0031479704284374,0.124051060027172,24.9696237795288,38.3645279181523,203.768559934448,0,7.829582533031,31.318330132124,2.3705035084713,0,400,25,20.8788867547493,70.466242797279,0.998106740408967,2.86955687867578,0.01375,0.011,0.01375,0.01375,0,0,0,0
05/03/2005,0.0626384777011162,0.125683418472904,24.9010230119562,38.2535275438426,203.60785953385,0,7.82153118589562,31.2861247435825,2.36522857292969,0,400,25,20.8574164957217,70.3937806730606,0.995885714917763,2.86317143038857,0.01375,0.011,0.01375,0.01375,0,0,0,0
