Date,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonium_mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL
01/01/2005,0,0,22.1038528384848,0,211.62948751699,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
02/01/2005,0,0,22.1573689193756,0,210.862634302825,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
03/01/2005,0,0,22.2093583096244,0,210.111991910992,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
04/01/2005,0,0,22.2598056192682,0,209.377782547567,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
05/01/2005,0,0,22.3086959148331,0,208.660223554103,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
06/01/2005,0,0,22.3560147237539,0,207.959527343288,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
07/01/2005,0,0,22.4017480386591,0,207.27590133607,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
08/01/2005,0,0,22.4458823215171,0,206.609547900254,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
09/01/2005,0,0,22.4884045076435,0,205.960664290597,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
10/01/2005,0,0,22.529302009569,0,205.329442590418,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
11/01/2005,0,0,22.568562720765,0,204.716069654734,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
12/01/2005,0,0,22.6061750192279,0,204.120727054951,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
13/01/2005,0,0,22.6421277709193,0,203.543591025112,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
14/01/2005,0,0,22.6764103330617,0,202.984832409728,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
15/01/2005,0,0,22.7090125572891,0,202.444616613206,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
16/01/2005,0,0,22.7399247926515,0,201.923103550887,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
17/01/2005,0.00457178676166667,0,22.7691378884712,66.8688611048033,201.420447601704,0,8.37194626403189,33.4877850561276,2.61100510731074,0,900,100,22.3251900374184,75.347516376287,1.09937057149926,3.16069039306037,0.01375,0.011,0.01375,0.01375,0,4379.37224699745,0,5078.99113343635
18/01/2005,0,0,22.7966431970518,0,200.936797562483,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
19/01/2005,0,0,22.8224325762384,0,200.4722966039,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
20/01/2005,0,0,22.8464983918275,0,200.027082228096,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
21/01/2005,0.00151314950378643,0,22.8688335198269,66.7434939030338,199.601286227974,0,8.36678847752478,33.4671539100991,2.61028892637508,0,900,100,22.3114359400661,75.301096297723,1.09906902163161,3.15982343719089,0.01375,0.011,0.01375,0.01375,0,4379.76256613514,0,5080.35960716894
22/01/2005,0,0,22.8894313485649,0,199.195034648184,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
23/01/2005,0.151653944874259,0,22.9082857806469,66.8115645984587,198.808447747817,0,8.36958900357495,33.4783560142998,2.61067779151407,0,900,100,22.3189040095332,75.3263010321745,1.09923275432171,3.16029416867493,0.01375,0.011,0.01375,0.01375,0,4379.55063434783,0,5079.61656626723
24/01/2005,0.0407897345417752,0,22.9253912347611,66.03715866204,198.441639964797,0,8.33772883254528,33.3509153301811,2.60625386914604,0,900,100,22.2339435534541,75.0395594929075,1.09737005016675,3.15493889422941,0.01375,0.011,0.01375,0.01375,0,4381.96167529842,0,5088.06976748253
25/01/2005,0.0072828081860599,0,22.9407426473299,65.4873651891227,198.094719882012,0,8.31510954044745,33.2604381617898,2.60311308273383,0,900,100,22.1736254411932,74.8359858640271,1.09604761378266,3.15113688962516,0.01375,0.011,0.01375,0.01375,0,4383.67340620752,0,5094.07116111198
26/01/2005,0.00285277335514345,0,22.9543354740096,64.6648900619413,197.767790195169,0,8.2812717339595,33.125086935838,2.59841455713998,0,900,100,22.0833912905587,74.5314456056356,1.09406928721684,3.1454492007484,0.01375,0.011,0.01375,0.01375,0,4386.23410611853,0,5103.04907233099
27/01/2005,0,0,22.966165691035,0,197.460947682393,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
28/01/2005,0,0,22.9762297964108,0,197.174283175578,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
29/01/2005,0,0,22.9845248109482,0,196.907881533503,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
30/01/2005,0,0,22.9910482791469,0,196.661821616705,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
31/01/2005,0,0,22.9957982699219,0,196.436176264143,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
01/02/2005,0,0,22.9987733771751,0,196.231012271628,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
02/02/2005,0.124249187926991,0,22.9999727202117,66.0216777291775,196.046390372056,0,8.33709192476151,33.3483676990461,2.60616543174913,0,900,100,22.2322451326974,75.0338273228536,1.09733281336805,3.15483183843315,0.01375,0.011,0.01375,0.01375,0,4382.0098737449,0,5088.23875306791
03/02/2005,0.0309100822315012,0,22.9993959440006,65.4193860921729,195.882365217428,0,8.31231278288994,33.2492511315597,2.60272474086632,0,900,100,22.1661674210398,74.8108150460094,1.0958841014174,3.15066679157502,0.01375,0.011,0.01375,0.01375,0,4383.88505281148,0,5094.81320215005
04/02/2005,0,0,22.9970432192799,0,195.738985362669,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
05/02/2005,0,0,22.992915242506,0,195.61629325126,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
06/02/2005,0,0,22.9870132356476,0,195.514325202668,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
07/02/2005,0,0,22.979338945824,0,195.433111401601,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
08/02/2005,0,0,22.9698946447878,0,195.372675889066,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
09/02/2005,0,0,22.9586831282526,0,195.333036555258,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
10/02/2005,0,0,22.9457077150652,0,195.31420513426,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
11/02/2005,7.92292954471606e-05,0,22.9309722462231,43.3330236663851,195.316187200573,0,7.40364815208511,29.6145926083404,2.4765527318864,0,900,100,19.7430617388936,66.632833368766,1.0427590450048,2.9979322543888,0.01375,0.011,0.01375,0.01375,0,4452.6488906821,0,5335.90183140653
12/02/2005,0,0,22.914481083738,0,195.338982167464,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
13/02/2005,0,0,22.8962391093438,0,195.382583287138,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
14/02/2005,0,0,22.876251723052,0,195.446977652739,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
15/02/2005,0,0,22.8545248415532,0,195.532146202168,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
16/02/2005,0,0,22.8310648964652,0,195.638063723726,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
17/02/2005,0,0,22.8058788324298,0,195.764698863581,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
18/02/2005,0,0,22.7789741050563,0,195.912014135043,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
19/02/2005,0,0,22.7503586787149,0,196.079965929666,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
20/02/2005,0.0634079932643978,0,22.7200410241792,65.7748591714581,196.268504530155,0,8.32693745526118,33.3077498210447,2.6047554397966,0,900,100,22.2051665473632,74.9424370973506,1.09673913254594,3.15312500606957,0.01375,0.011,0.01375,0.01375,0,4382.77832039806,0,5090.93295624218
