Date,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonium_mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL
01/01/2005,0,0,22.1038528384848,0,211.62948751699,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
02/01/2005,0,0,22.1573689193756,0,210.862634302825,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
03/01/2005,0,0,22.2093583096244,0,210.111991910992,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
04/01/2005,0,0,22.2598056192682,0,209.377782547567,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
05/01/2005,0.440029534715819,0,22.3086959148331,119.126025195076,208.660223554103,0,8.14500203345759,32.5800081338303,2.45537171641921,0,900,100,21.7200054225536,73.3050183011183,1.03384072270283,2.97229207777063,0.01375,0.011,0.01375,0.01375,0,3020.80632628283,0,3031.92967043219
06/01/2005,0,0,22.3560147237539,0,207.959527343288,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
07/01/2005,0,0,22.4017480386591,0,207.27590133607,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
08/01/2005,0,0,22.4458823215171,0,206.609547900254,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
09/01/2005,0,0,22.4884045076435,0,205.960664290597,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
10/01/2005,0,0,22.529302009569,0,205.329442590418,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
11/01/2005,0,0,22.568562720765,0,204.716069654734,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
12/01/2005,0,0,22.6061750192279,0,204.120727054951,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
13/01/2005,0,0,22.6421277709193,0,203.543591025112,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
14/01/2005,0,0,22.6764103330617,0,202.984832409728,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
15/01/2005,0,0,22.7090125572891,0,202.444616613206,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
16/01/2005,0,0,22.7399247926515,0,201.923103550887,0,0,0,0,0,900,100,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
17/01/2005,0.141437493039094,0,22.7691378884712,119.133358574809,201.420447601704,0,8.14208265215151,32.568330608606,2.45430938466579,0,900,100,21.7122204057374,73.2787438693636,1.03339342512244,2.97100609722701,0.01375,0.011,0.01375,0.01375,0,3018.56405427484,0,3029.13124531313
18/01/2005,5.9986894763634e-05,0,22.7966431970518,17.0261211281168,200.936797562483,0,3.73801757819333,14.9520703127733,0.970996369171798,0,900,100,9.96804687518222,33.64215820374,0.408840576493389,1.17541665741849,0.01375,0.011,0.01375,0.01375,0,285.794941757706,0,527.345747255733
19/01/2005,5.66270351465337e-05,0,22.8224325762384,17.0261211281168,200.4722966039,0,3.73801757819334,14.9520703127733,0.970996369171798,0,900,100,9.96804687518223,33.64215820374,0.408840576493389,1.17541665741849,0.01375,0.011,0.01375,0.01375,0,285.794941757707,0,527.345747255733
20/01/2005,5.34553609104421e-05,0,22.8464983918275,17.0261211281168,200.027082228096,0,3.73801757819333,14.9520703127733,0.970996369171798,0,900,100,9.96804687518222,33.64215820374,0.408840576493389,1.17541665741849,0.01375,0.011,0.01375,0.01375,0,285.794941757706,0,527.345747255733
21/01/2005,0.241253601387012,0,22.8688335198269,119.183754946909,199.601286227974,0,8.14054109317989,32.5621643727196,2.45349541526911,0,900,100,21.708109581813,73.264869838619,1.03305070116594,2.97002076585208,0.01375,0.011,0.01375,0.01375,0,3016.1667421023,0,3025.8345951755
22/01/2005,0.000163125578602853,0,22.8894313485649,16.9881798575317,199.195034648184,0,3.74293632202195,14.9717452880878,0.976145506087646,0,900,100,9.98116352539186,33.6864268981975,0.411008634142167,1.18164982315873,0.01375,0.011,0.01375,0.01375,0,282.707570870626,0,526.464190147752
23/01/2005,0.468763731531194,0,22.9082857806469,116.643392504195,198.808447747817,0,7.98274782770132,31.9309913108053,2.40679395915175,0,900,100,21.2873275405369,71.8447304493119,1.01338693016916,2.91348742423633,0.01375,0.011,0.01375,0.01375,0,2961.80355694157,0,2973.97032758279
24/01/2005,0.429367931051495,0,22.9253912347611,118.69002848155,198.441639964797,0,8.13438684331766,32.5375473732706,2.45298202872004,0,900,100,21.6916982488471,73.209481589859,1.03283453840844,2.96939929792426,0.01375,0.011,0.01375,0.01375,0,3019.87116409855,0,3034.1508416834
25/01/2005,0.173895763425302,0,22.9407426473299,118.197371091447,198.094719882012,0,8.11163515706271,32.4465406282509,2.44552354754143,0,900,100,21.6310270855006,73.0047164135645,1.0296941252806,2.96037061018173,0.01375,0.011,0.01375,0.01375,0,3006.80819242583,0,3022.16691605451
26/01/2005,0.00525963487637141,0,22.9543354740096,91.9605289448315,197.767790195169,0,7.04272748997222,28.1709099598889,2.09951885302382,0,900,100,18.7806066399259,63.38454740975,0.884007938115291,2.54152282208146,0.01375,0.011,0.01375,0.01375,0,2412.4981475645,0,2508.13288258567
27/01/2005,0.00120913625473786,0,22.966165691035,17.044484167677,197.460947682393,0,3.73566020305472,14.9426408122189,0.968514805306525,0,900,100,9.96176054147927,33.6209418274925,0.407795707497484,1.17241265905527,0.01375,0.011,0.01375,0.01375,0,287.29990114171,0,527.780925121293
28/01/2005,0.00149243007944424,0,22.9762297964108,31.5831478470833,197.174283175578,0,4.54655004767863,18.1862001907145,1.27640347518124,0,900,100,12.1241334604763,40.9189504291077,0.537433042181575,1.54511999627203,0.01375,0.011,0.01375,0.01375,0,960.547581657955,0,1224.20960450241
29/01/2005,0.0011316969231733,0,22.9845248109482,17.0559804302352,196.907881533503,0,3.73414693876336,14.9365877550534,0.966939245147456,0,900,100,9.95772517003563,33.6073224488703,0.407132313746297,1.1705054020206,0.01375,0.011,0.01375,0.01375,0,288.253395931361,0,528.05070893675
30/01/2005,0.00106831069846624,0,22.9910482791469,17.0559804302352,196.661821616705,0,3.73414693876336,14.9365877550535,0.966939245147456,0,900,100,9.95772517003563,33.6073224488703,0.407132313746297,1.1705054020206,0.01375,0.011,0.01375,0.01375,0,288.253395931361,0,528.05070893675
31/01/2005,0.00100847472948608,0,22.9957982699219,17.0559804302352,196.436176264143,0,3.73414693876336,14.9365877550534,0.966939245147456,0,900,100,9.95772517003563,33.6073224488703,0.407132313746297,1.1705054020206,0.01375,0.011,0.01375,0.01375,0,288.253395931361,0,528.05070893675
01/02/2005,0.000951990166785882,0,22.9987733771751,17.0559804302352,196.231012271628,0,3.73414693876336,14.9365877550535,0.966939245147456,0,900,100,9.95772517003563,33.6073224488703,0.407132313746297,1.1705054020206,0.01375,0.011,0.01375,0.01375,0,288.253395931361,0,528.05070893675
02/02/2005,1.32296204392406,0,22.9999727202117,106.849412645816,196.046390372056,0,7.32233091804027,29.2893236721611,2.20814468803382,0,900,100,19.5262157814407,65.9009782623624,0.929745131803714,2.67301725393568,0.01375,0.011,0.01375,0.01375,0,2718.63686372614,0,2731.46650529654
03/02/2005,0.355703523676113,0,22.9993959440006,118.14176017224,195.882365217428,0,8.10182827294807,32.4073130917923,2.44172893149291,0,900,100,21.6048753945282,72.9164544565327,1.02809639220754,2.95577712759668,0.01375,0.011,0.01375,0.01375,0,2998.15317254863,0,3012.11691418458
04/02/2005,0.0030309441730671,0,22.9970432192799,17.0544346516333,195.738985362669,0,3.7344142970579,14.9376571882316,0.967196958772968,0,900,100,9.95843812548772,33.6097286735211,0.407240824746513,1.17081737114622,0.01375,0.011,0.01375,0.01375,0,288.057879940484,0,528.000396739581
05/02/2005,0.00286118131121369,0,22.992915242506,17.0544346516333,195.61629325126,0,3.7344142970579,14.9376571882316,0.967196958772968,0,900,100,9.95843812548773,33.6097286735211,0.407240824746513,1.17081737114622,0.01375,0.011,0.01375,0.01375,0,288.057879940484,0,528.000396739581
06/02/2005,0.00270092684925783,0,22.9870132356476,17.0544346516333,195.514325202668,0,3.7344142970579,14.9376571882316,0.967196958772968,0,900,100,9.95843812548773,33.6097286735211,0.407240824746513,1.17081737114622,0.01375,0.011,0.01375,0.01375,0,288.057879940484,0,528.000396739581
07/02/2005,0.00254964822272915,0,22.979338945824,17.0544346516333,195.433111401601,0,3.7344142970579,14.9376571882316,0.967196958772968,0,900,100,9.95843812548773,33.6097286735211,0.407240824746513,1.17081737114622,0.01375,0.011,0.01375,0.01375,0,288.057879940484,0,528.000396739581
08/02/2005,0.0024068426960368,0,22.9698946447878,17.0544346516333,195.372675889066,0,3.7344142970579,14.9376571882316,0.967196958772968,0,900,100,9.95843812548773,33.6097286735211,0.407240824746513,1.17081737114622,0.01375,0.011,0.01375,0.01375,0,288.057879940484,0,528.000396739581
09/02/2005,0.00227203569175711,0,22.9586831282526,17.0544346516333,195.333036555258,0,3.7344142970579,14.9376571882316,0.967196958772968,0,900,100,9.95843812548773,33.6097286735211,0.407240824746513,1.17081737114622,0.01375,0.011,0.01375,0.01375,0,288.057879940484,0,528.000396739581
