ID,WL,U,V,SAL,TEMP,WQ_1,WQ_2,WQ_3,WQ_4,WQ_5,WQ_6,WQ_7,WQ_8,WQ_9,WQ_10,WQ_11,WQ_12,WQ_13,WQ_14,WQ_15,WQ_16,WQ_17,
1,133.4796,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
2,132.3899,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
3,131.7282,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
4,129.6142,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
5,127.5436,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
6,125.5379,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
7,124.6232,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
8,124.1277,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
9,123.8667,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
10,123.4031,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
11,123.2608,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
12,123.2211,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
13,123.1756,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
14,123.2112,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
15,123.1275,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
16,123.1234,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
17,123.0736,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
18,122.9604,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
19,122.9704,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
20,122.9061,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
21,122.8354,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
22,122.8676,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
23,122.8562,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
24,122.8301,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
25,122.8336,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
26,122.7053,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
27,121.9091,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
28,121.4159,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
29,121.4278,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
30,121.4317,0,0,0.1,12,10.4,301.875,59.573,6.5102,18.5714,0.1806,0.0181,208.3333,208.3333,6.3449,6.3449,0.1439,0.1439,2.0278,2.0278,2.0278,0,
