Date,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonium_mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL
01/01/2005,0.00031114418790857,0.1,24.8051371179797,39.9350699745479,252.59041410873,0,8.13363928527171,32.5345571410868,2.44876271542408,0,400,25,21.6897047607246,73.2027535674454,1.03105798544172,2.96429170814494,0.01375,0.011,0.01375,0.01375,0,0,0,0
02/01/2005,0.000154883181090768,0.1,24.8764918925008,39.9350699745479,251.344251726306,0,8.13363928527171,32.5345571410868,2.44876271542408,0,400,25,21.6897047607246,73.2027535674454,1.03105798544172,2.96429170814494,0.01375,0.011,0.01375,0.01375,0,0,0,0
03/01/2005,8.22976052608636e-05,0.1,24.9458110794992,39.9350699745479,250.106942079986,0,8.13363928527171,32.5345571410869,2.44876271542408,0,400,25,21.6897047607246,73.2027535674454,1.03105798544172,2.96429170814494,0.01375,0.011,0.01375,0.01375,0,0,0,0
04/01/2005,4.62026165285815e-05,0.1,25.0130741590243,39.9350699745479,248.878851439682,0,8.13363928527171,32.5345571410869,2.44876271542408,0,400,25,21.6897047607246,73.2027535674454,1.03105798544172,2.96429170814494,0.01375,0.011,0.01375,0.01375,0,0,0,0
05/01/2005,0.0316676354387949,0.1,25.0782612197774,39.8931031627976,247.660343346284,0,8.12938099322989,32.5175239729196,2.44737307278594,0,400,25,21.6783493152797,73.164428939069,1.03047287275197,2.96260950916193,0.01375,0.011,0.01375,0.01375,0,0,0,0
06/01/2005,0.151565027403787,0.1,25.1413529650052,39.9440244121238,246.451778504046,0,8.13580126966304,32.5432050786522,2.44939296473812,0,400,25,21.6954700524348,73.2222114269674,1.03132335357395,2.9650546415251,0.01375,0.011,0.01375,0.01375,0,0,0,0
07/01/2005,0.0352401771937758,0.1,25.2023307182122,39.9440244121239,245.253514673805,0,8.13580126966304,32.5432050786522,2.44939296473812,0,400,25,21.6954700524348,73.2222114269674,1.03132335357395,2.9650546415251,0.01375,0.011,0.01375,0.01375,0,0,0,0
08/01/2005,0.0100770871062661,0.1,25.2611764286895,39.9440244121239,244.065906567085,0,8.13580126966304,32.5432050786522,2.44939296473812,0,400,25,21.6954700524348,73.2222114269674,1.03132335357395,2.9650546415251,0.01375,0.011,0.01375,0.01375,0,0,0,0
09/01/2005,0.00339833447027865,0.1,25.317872676858,39.9440244121239,242.889305741087,0,8.13580126966305,32.5432050786522,2.44939296473812,0,400,25,21.6954700524348,73.2222114269674,1.03132335357395,2.9650546415251,0.01375,0.011,0.01375,0.01375,0,0,0,0
10/01/2005,0.00130899533130513,0.1,25.3724026794253,39.9440244121239,241.724060494622,0,8.13580126966304,32.5432050786522,2.44939296473812,0,400,25,21.6954700524348,73.2222114269674,1.03132335357395,2.9650546415251,0.01375,0.011,0.01375,0.01375,0,0,0,0
11/01/2005,0.000561941014282028,0.1,25.4247502943533,39.9440244121238,240.570515765012,0,8.13580126966304,32.5432050786522,2.44939296473812,0,400,25,21.6954700524348,73.2222114269674,1.03132335357395,2.9650546415251,0.01375,0.011,0.01375,0.01375,0,0,0,0
12/01/2005,0.000263782026048625,0.1,25.4749000256372,39.9440244121239,239.429013025974,0,8.13580126966304,32.5432050786522,2.44939296473812,0,400,25,21.6954700524348,73.2222114269674,1.03132335357395,2.9650546415251,0.01375,0.011,0.01375,0.01375,0,0,0,0
