Date,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonium_mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL
01/01/2005,0.000112128219613116,0.1,24.8051371179797,118.481628669291,252.59041410873,220.707366149349,8.10876989877896,32.4350795951159,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.95584820750711,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
02/01/2005,6.13077741834767e-05,0.1,24.8764918925008,118.481628669291,251.344251726306,220.707366149349,8.10876989877896,32.4350795951158,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.95584820750711,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
03/01/2005,3.5273745207991e-05,0.1,24.9458110794992,118.481628669291,250.106942079986,220.707366149349,8.10876989877896,32.4350795951159,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.95584820750711,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
04/01/2005,2.12133209744404e-05,0.1,25.0130741590243,118.481628669291,248.878851439682,220.707366149349,8.10876989877896,32.4350795951159,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.95584820750711,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
05/01/2005,1.32527344120014e-05,0.1,25.0782612197774,118.481628669291,247.660343346284,220.707366149349,8.10876989877896,32.4350795951159,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.95584820750711,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
06/01/2005,8.55943435514465e-06,0.1,25.1413529650052,118.481628669291,246.451778504046,220.707366149349,8.10876989877896,32.4350795951159,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.95584820750711,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
07/01/2005,5.69223057032806e-06,0.1,25.2023307182122,118.481628669291,245.253514673805,220.707366149349,8.10876989877896,32.4350795951158,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.95584820750711,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
08/01/2005,3.88466809387194e-06,0.1,25.2611764286895,118.481628669291,244.065906567085,220.707366149349,8.10876989877896,32.4350795951159,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.9558482075071,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
09/01/2005,2.71282576349778e-06,0.1,25.317872676858,118.481628669291,242.889305741087,220.707366149349,8.10876989877896,32.4350795951158,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.95584820750711,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
10/01/2005,1.93389466976141e-06,0.1,25.3724026794253,118.481628669291,241.724060494622,220.707366149349,8.10876989877896,32.4350795951158,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.95584820750711,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
11/01/2005,1.404376600513e-06,0.1,25.4247502943533,118.481628669291,240.570515765012,220.707366149349,8.10876989877896,32.4350795951158,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.95584820750711,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
12/01/2005,1.06017965931809e-06,0.1,25.4749000256372,118.481628669291,239.429013025974,220.707366149349,8.10876989877896,32.4350795951158,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.95584820750711,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
13/01/2005,7.88431437306594e-07,0.1,25.5228370278924,118.481628669291,238.299890186543,220.707366149349,8.10876989877896,32.4350795951158,2.44178764967978,0,400,25,21.6233863967439,72.9789290890106,1.02812111565465,2.95584820750711,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
14/01/2005,5.95108548108692e-07,0.1,25.5685471107489,118.481628669291,237.18348149104,220.707366149349,8.10876989877896,32.4350795951158,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.95584820750711,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
15/01/2005,4.55294146237148e-07,0.1,25.6120167430522,118.481628669291,236.08011742013,220.707366149349,8.10876989877896,32.4350795951158,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.95584820750711,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
16/01/2005,3.52647416308583e-07,0.1,25.6532330568687,118.481628669291,234.990124592991,220.707366149349,8.10876989877896,32.4350795951158,2.44178764967978,0,400,25,21.6233863967439,72.9789290890107,1.02812111565465,2.9558482075071,0.01375,0.011,0.01375,0.01375,0,2992.34376217544,0,3002.67059308895
17/01/2005,0.0319314464310572,0.1,25.6921838512949,111.809801613892,233.91382567063,220.297486515663,8.12240517901317,32.4896207160527,2.4551046206417,0,400,25,21.6597471440351,73.1016466111185,1.03372826132282,2.97196875130311,0.01375,0.011,0.01375,0.01375,0,3144.37995728953,0,3236.49817083215
18/01/2005,0.0353986019685583,0.1,25.7288575960691,117.257150222784,232.851539260369,220.832128088326,8.12307992253382,32.4923196901353,2.44831005948709,0,400,25,21.6615464600902,73.1077193028044,1.03086739346825,2.96374375622122,0.01375,0.011,0.01375,0.01375,0,3033.47455366391,0,3061.53104541706
19/01/2005,0.0101161872807136,0.1,25.7632434349846,117.257150222784,231.803579821526,220.832128088326,8.12307992253382,32.4923196901353,2.44831005948709,0,400,25,21.6615464600902,73.1077193028044,1.03086739346825,2.96374375622122,0.01375,0.011,0.01375,0.01375,0,3033.47455366391,0,3061.53104541706
20/01/2005,0.00340984530883521,0.1,25.7953311891033,117.257150222784,230.770257572335,220.832128088326,8.12307992253382,32.4923196901353,2.44831005948709,0,400,25,21.6615464600902,73.1077193028044,1.03086739346825,2.96374375622122,0.01375,0.011,0.01375,0.01375,0,3033.47455366391,0,3061.53104541706
21/01/2005,0.0013130459288108,0.1,25.8251113597692,117.254395659028,229.751878398107,220.826656365453,8.12287809461636,32.4915123784654,2.44824902367761,0,400,25,21.6610082523103,73.1059028515473,1.03084169418005,2.96366987076764,0.01375,0.011,0.01375,0.01375,0,3033.39593406441,0,3061.44985718513
