ID,NCS_fs1,NCS_fs2,NCS_tau_0,NCS_epsilon
1,0.0000,0.0000,0.1500,0.0050
2,0.0000,0.0000,0.1500,0.0050
3,0.0000,0.0000,0.1500,0.0050
4,0.0000,0.0000,0.1500,0.0050
5,0.0000,0.0000,0.1500,0.0050
6,0.0000,0.0000,0.1500,0.0050
7,0.0000,0.0000,0.1500,0.0050
8,0.0000,0.0000,0.1500,0.0050
9,0.0000,0.0000,0.1500,0.0050
10,0.0000,0.0000,0.1500,0.0050
11,0.0000,0.0000,0.1500,0.0050
12,0.0000,0.0000,0.1500,0.0050
13,0.0000,0.0000,0.1500,0.0050
14,0.0000,0.0000,0.1500,0.0050
15,0.0000,0.0000,0.1500,0.0050
16,0.0000,0.0000,0.1500,0.0050
17,0.0000,0.0000,0.1500,0.0050
18,0.0000,0.0000,0.1500,0.0050
19,0.0000,0.0000,0.1500,0.0050
20,0.0000,0.0000,0.1500,0.0050
21,0.0000,0.0000,0.1500,0.0050
22,0.0000,0.0000,0.1500,0.0050
23,0.0000,0.0000,0.1500,0.0050
24,0.0000,0.0000,0.1500,0.0050
25,0.0000,0.0000,0.1500,0.0050
26,0.0000,0.0000,0.1500,0.0050
27,0.0000,0.0000,0.1500,0.0050
28,0.0000,0.0000,0.1500,0.0050
29,0.0000,0.0000,0.1500,0.0050
30,0.0000,0.0000,0.1500,0.0050
31,0.0000,0.0000,0.1500,0.0050
32,0.0000,0.0000,0.1500,0.0050
33,0.0000,0.0000,0.1500,0.0050
34,0.0000,0.0000,0.1500,0.0050
35,0.0000,0.0000,0.1500,0.0050
36,0.0000,0.0000,0.1500,0.0050
37,0.0000,0.0000,0.1500,0.0050
38,0.0000,0.0000,0.1500,0.0050
39,0.0000,0.0000,0.1500,0.0050
40,0.0000,0.0000,0.1500,0.0050
41,0.0000,0.0000,0.1500,0.0050
42,0.0000,0.0000,0.1500,0.0050
43,0.0000,0.0000,0.1500,0.0050
44,0.0000,0.0000,0.1500,0.0050
45,0.0000,0.0000,0.1500,0.0050
46,0.0000,0.0000,0.1500,0.0050
47,0.0000,0.0000,0.1500,0.0050
48,0.0000,0.0000,0.1500,0.0050
49,0.0000,0.0000,0.1500,0.0050
50,0.0000,0.0000,0.1500,0.0050
51,0.0000,0.0000,0.1500,0.0050
52,0.0000,0.0000,0.1500,0.0050
53,0.0000,0.0000,0.1500,0.0050
54,0.0000,0.0000,0.1500,0.0050
55,0.0000,0.0000,0.1500,0.0050
56,0.0000,0.0000,0.1500,0.0050
57,0.0000,0.0000,0.1500,0.0050
58,0.0000,0.0000,0.1500,0.0050
59,0.0000,0.0000,0.1500,0.0050
60,0.0000,0.0000,0.1500,0.0050
61,0.0000,0.0000,0.1500,0.0050
62,0.0000,0.0000,0.1500,0.0050
63,0.0000,0.0000,0.1500,0.0050
64,0.0000,0.0000,0.1500,0.0050
65,0.0000,0.0000,0.1500,0.0050
66,0.0000,0.0000,0.1500,0.0050
67,0.0000,0.0000,0.1500,0.0050
68,0.0000,0.0000,0.1500,0.0050
69,0.0000,0.0000,0.1500,0.0050
70,0.0000,0.0000,0.1500,0.0050
71,0.0000,0.0000,0.1500,0.0050
72,0.0000,0.0000,0.1500,0.0050
73,0.0000,0.0000,0.1500,0.0050
74,0.0000,0.0000,0.1500,0.0050
75,0.0000,0.0000,0.1500,0.0050
76,0.0000,0.0000,0.1500,0.0050
77,0.0000,0.0000,0.1500,0.0050
78,0.0000,0.0000,0.1500,0.0050
79,0.0000,0.0000,0.1500,0.0050
80,0.0000,0.0000,0.1500,0.0050
81,0.0000,0.0000,0.1500,0.0050
82,0.0000,0.0000,0.1500,0.0050
83,0.0000,0.0000,0.1500,0.0050
84,0.0000,0.0000,0.1500,0.0050
85,0.0000,0.0000,0.1500,0.0050
86,0.0000,0.0000,0.1500,0.0050
87,0.0000,0.0000,0.1500,0.0050
88,0.0000,0.0000,0.1500,0.0050
89,0.0000,0.0000,0.1500,0.0050
90,0.0000,0.0000,0.1500,0.0050
91,0.0000,0.0000,0.1500,0.0050
92,0.0000,0.0000,0.1500,0.0050
93,0.0000,0.0000,0.1500,0.0050
94,0.0000,0.0000,0.1500,0.0050
95,0.0000,0.0000,0.1500,0.0050
96,0.0000,0.0000,0.1500,0.0050
97,0.0000,0.0000,0.1500,0.0050
98,0.0000,0.0000,0.1500,0.0050
99,0.0000,0.0000,0.1500,0.0050
100,0.0000,0.0000,0.1500,0.0050
101,0.0000,0.0000,0.1500,0.0050
102,0.0000,0.0000,0.1500,0.0050
103,0.0000,0.0000,0.1500,0.0050
104,0.0000,0.0000,0.1500,0.0050
105,0.0000,0.0000,0.1500,0.0050
106,0.0000,0.0000,0.1500,0.0050
107,0.0000,0.0000,0.1500,0.0050
108,0.0000,0.0000,0.1500,0.0050
109,0.0000,0.0000,0.1500,0.0050
110,0.0000,0.0000,0.1500,0.0050
111,0.0000,0.0000,0.1500,0.0050
112,0.0000,0.0000,0.1500,0.0050
113,0.0000,0.0000,0.1500,0.0050
114,0.0000,0.0000,0.1500,0.0050
115,0.0000,0.0000,0.1500,0.0050
116,0.0000,0.0000,0.1500,0.0050
117,0.0000,0.0000,0.1500,0.0050
118,0.0000,0.0000,0.1500,0.0050
119,0.0000,0.0000,0.1500,0.0050
120,0.0000,0.0000,0.1500,0.0050
121,0.0000,0.0000,0.1500,0.0050
122,0.0000,0.0000,0.1500,0.0050
123,0.0000,0.0000,0.1500,0.0050
124,0.0000,0.0000,0.1500,0.0050
125,0.0000,0.0000,0.1500,0.0050
126,0.0000,0.0000,0.1500,0.0050
127,0.0000,0.0000,0.1500,0.0050
128,0.0000,0.0000,0.1500,0.0050
129,0.0000,0.0000,0.1500,0.0050
130,0.0000,0.0000,0.1500,0.0050
131,0.0000,0.0000,0.1500,0.0050
132,0.0000,0.0000,0.1500,0.0050
133,0.0000,0.0000,0.1500,0.0050
134,0.0000,0.0000,0.1500,0.0050
135,0.0000,0.0000,0.1500,0.0050
136,0.0000,0.0000,0.1500,0.0050
137,0.0000,0.0000,0.1500,0.0050
138,0.0000,0.0000,0.1500,0.0050
139,0.0000,0.0000,0.1500,0.0050
140,0.0000,0.0000,0.1500,0.0050
141,0.0000,0.0000,0.1500,0.0050
142,0.0000,0.0000,0.1500,0.0050
143,0.0000,0.0000,0.1500,0.0050
144,0.0000,0.0000,0.1500,0.0050
145,0.0000,0.0000,0.1500,0.0050
146,0.0000,0.0000,0.1500,0.0050
147,0.0000,0.0000,0.1500,0.0050
148,0.0000,0.0000,0.1500,0.0050
149,0.0000,0.0000,0.1500,0.0050
150,0.0000,0.0000,0.1500,0.0050
151,0.0000,0.0000,0.1500,0.0050
152,0.0000,0.0000,0.1500,0.0050
153,0.0000,0.0000,0.1500,0.0050
154,0.0000,0.0000,0.1500,0.0050
155,0.0000,0.0000,0.1500,0.0050
156,0.0000,0.0000,0.1500,0.0050
157,0.0000,0.0000,0.1500,0.0050
158,0.0000,0.0000,0.1500,0.0050
159,0.0000,0.0000,0.1500,0.0050
160,0.0000,0.0000,0.1500,0.0050
161,0.0000,0.0000,0.1500,0.0050
162,0.0000,0.0000,0.1500,0.0050
163,0.0000,0.0000,0.1500,0.0050
164,0.0000,0.0000,0.1500,0.0050
165,0.0000,0.0000,0.1500,0.0050
166,0.0000,0.0000,0.1500,0.0050
167,0.0000,0.0000,0.1500,0.0050
168,0.0000,0.0000,0.1500,0.0050
169,0.0000,0.0000,0.1500,0.0050
170,0.0000,0.0000,0.1500,0.0050
171,0.0000,0.0000,0.1500,0.0050
172,0.0000,0.0000,0.1500,0.0050
173,0.0000,0.0000,0.1500,0.0050
174,0.0000,0.0000,0.1500,0.0050
175,0.0000,0.0000,0.1500,0.0050
176,0.0000,0.0000,0.1500,0.0050
177,0.0000,0.0000,0.1500,0.0050
178,0.0000,0.0000,0.1500,0.0050
179,0.0000,0.0000,0.1500,0.0050
180,0.0000,0.0000,0.1500,0.0050
181,0.0000,0.0000,0.1500,0.0050
182,0.0000,0.0000,0.1500,0.0050
183,0.0000,0.0000,0.1500,0.0050
184,0.0000,0.0000,0.1500,0.0050
185,0.0000,0.0000,0.1500,0.0050
186,0.0000,0.0000,0.1500,0.0050
187,0.0000,0.0000,0.1500,0.0050
188,0.0000,0.0000,0.1500,0.0050
189,0.0000,0.0000,0.1500,0.0050
190,0.0000,0.0000,0.1500,0.0050
191,0.0000,0.0000,0.1500,0.0050
192,0.0000,0.0000,0.1500,0.0050
193,0.0000,0.0000,0.1500,0.0050
194,0.0000,0.0000,0.1500,0.0050
195,0.0000,0.0000,0.1500,0.0050
196,0.0000,0.0000,0.1500,0.0050
197,0.0000,0.0000,0.1500,0.0050
198,0.0000,0.0000,0.1500,0.0050
199,0.0000,0.0000,0.1500,0.0050
200,0.0000,0.0000,0.1500,0.0050
201,0.0000,0.0000,0.1500,0.0050
202,0.0000,0.0000,0.1500,0.0050
203,0.0000,0.0000,0.1500,0.0050
204,0.0000,0.0000,0.1500,0.0050
205,0.0000,0.0000,0.1500,0.0050
206,0.0000,0.0000,0.1500,0.0050
207,0.0000,0.0000,0.1500,0.0050
208,0.0000,0.0000,0.1500,0.0050
209,0.0000,0.0000,0.1500,0.0050
210,0.0000,0.0000,0.1500,0.0050
211,0.0000,0.0000,0.1500,0.0050
212,0.0000,0.0000,0.1500,0.0050
213,0.0000,0.0000,0.1500,0.0050
214,0.0000,0.0000,0.1500,0.0050
215,0.0000,0.0000,0.1500,0.0050
216,0.0000,0.0000,0.1500,0.0050
217,0.0000,0.0000,0.1500,0.0050
218,0.0000,0.0000,0.1500,0.0050
219,0.0000,0.0000,0.1500,0.0050
220,0.0000,0.0000,0.1500,0.0050
221,0.0000,0.0000,0.1500,0.0050
222,0.0000,0.0000,0.1500,0.0050
223,0.0000,0.0000,0.1500,0.0050
224,0.0000,0.0000,0.1500,0.0050
225,0.0000,0.0000,0.1500,0.0050
226,0.0000,0.0000,0.1500,0.0050
227,0.0000,0.0000,0.1500,0.0050
228,0.0000,0.0000,0.1500,0.0050
229,0.0000,0.0000,0.1500,0.0050
230,0.0000,0.0000,0.1500,0.0050
231,0.0000,0.0000,0.1500,0.0050
232,0.0000,0.0000,0.1500,0.0050
233,0.0000,0.0000,0.1500,0.0050
234,0.0000,0.0000,0.1500,0.0050
235,0.0000,0.0000,0.1500,0.0050
236,0.0000,0.0000,0.1500,0.0050
237,0.0000,0.0000,0.1500,0.0050
238,0.0000,0.0000,0.1500,0.0050
239,0.0000,0.0000,0.1500,0.0050
240,0.0000,0.0000,0.1500,0.0050
241,0.0000,0.0000,0.1500,0.0050
242,0.0000,0.0000,0.1500,0.0050
243,0.0000,0.0000,0.1500,0.0050
244,0.0000,0.0000,0.1500,0.0050
245,0.0000,0.0000,0.1500,0.0050
246,0.0000,0.0000,0.1500,0.0050
247,0.0000,0.0000,0.1500,0.0050
248,0.0000,0.0000,0.1500,0.0050
249,0.0000,0.0000,0.1500,0.0050
250,0.0000,0.0000,0.1500,0.0050
251,0.0000,0.0000,0.1500,0.0050
252,0.0000,0.0000,0.1500,0.0050
253,0.0000,0.0000,0.1500,0.0050
254,0.0000,0.0000,0.1500,0.0050
255,0.0000,0.0000,0.1500,0.0050
256,0.0000,0.0000,0.1500,0.0050
257,0.0000,0.0000,0.1500,0.0050
258,0.0000,0.0000,0.1500,0.0050
259,0.0000,0.0000,0.1500,0.0050
260,0.0000,0.0000,0.1500,0.0050
261,0.0000,0.0000,0.1500,0.0050
262,0.0000,0.0000,0.1500,0.0050
263,0.0000,0.0000,0.1500,0.0050
264,0.0000,0.0000,0.1500,0.0050
265,0.0000,0.0000,0.1500,0.0050
266,0.0000,0.0000,0.1500,0.0050
267,0.0000,0.0000,0.1500,0.0050
268,0.0000,0.0000,0.1500,0.0050
269,0.0000,0.0000,0.1500,0.0050
270,0.0000,0.0000,0.1500,0.0050
271,0.0000,0.0000,0.1500,0.0050
272,0.0000,0.0000,0.1500,0.0050
273,0.0000,0.0000,0.1500,0.0050
274,0.0000,0.0000,0.1500,0.0050
275,0.0000,0.0000,0.1500,0.0050
276,0.0000,0.0000,0.1500,0.0050
277,0.0000,0.0000,0.1500,0.0050
278,0.0000,0.0000,0.1500,0.0050
279,0.0000,0.0000,0.1500,0.0050
280,0.0000,0.0000,0.1500,0.0050
281,0.0000,0.0000,0.1500,0.0050
282,0.0000,0.0000,0.1500,0.0050
283,0.0000,0.0000,0.1500,0.0050
284,0.0000,0.0000,0.1500,0.0050
285,0.0000,0.0000,0.1500,0.0050
286,0.0000,0.0000,0.1500,0.0050
287,0.0000,0.0000,0.1500,0.0050
288,0.0000,0.0000,0.1500,0.0050
289,0.0000,0.0000,0.1500,0.0050
290,0.0000,0.0000,0.1500,0.0050
291,0.0000,0.0000,0.1500,0.0050
292,0.0000,0.0000,0.1500,0.0050
