id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.2851254E+06,  0.6208242E+07,  9999.000,  9999.003
           2,  0.2850619E+06,  0.6208308E+07,  1154.338,  9342.987
           3,  0.2851113E+06,  0.6208328E+07,  1308.346,  9539.122
           4,  0.2850479E+06,  0.6208394E+07,    47.001,  5877.476
           5,  0.2850337E+06,  0.6208482E+07,  1396.957,  9405.384
           6,  0.2849792E+06,  0.6208457E+07,  1635.464,  9535.892
           7,  0.2849651E+06,  0.6208544E+07,    31.936,  2843.228
           8,  0.2849463E+06,  0.6208628E+07,   518.897,  8031.346
           9,  0.2849064E+06,  0.6208610E+07,   535.364,  8807.654
          10,  0.2848876E+06,  0.6208694E+07,    31.927,  3327.912
          11,  0.2848665E+06,  0.6208779E+07,   723.773,  9423.850
          12,  0.2848385E+06,  0.6208765E+07,   878.777,  9747.154
          13,  0.2848174E+06,  0.6208850E+07,    22.518,  3530.407
          14,  0.2847977E+06,  0.6208937E+07,  1038.466,  9132.079
          15,  0.2847661E+06,  0.6208919E+07,  1171.974,  9861.211
          16,  0.2847464E+06,  0.6209005E+07,    22.166,  4211.829
          17,  0.2847196E+06,  0.6209089E+07,   995.990,  9869.772
          18,  0.2846845E+06,  0.6209067E+07,   725.138,  9738.831
          19,  0.2846576E+06,  0.6209151E+07,    15.744,  3993.362
          20,  0.2846492E+06,  0.6209204E+07,   528.265,  8681.183
          21,  0.2846112E+06,  0.6209172E+07,   326.893,  9047.009
          22,  0.2846028E+06,  0.6209225E+07,    14.722,  3026.176
          23,  0.2845879E+06,  0.6209280E+07,   497.715,  8818.278
          24,  0.2845544E+06,  0.6209238E+07,   571.734,  8066.645
          25,  0.2845395E+06,  0.6209292E+07,    20.560,  3040.066
          26,  0.2845090E+06,  0.6209336E+07,   568.292,  9241.769
          27,  0.2844872E+06,  0.6209290E+07,   746.256,  9330.004
          28,  0.2844567E+06,  0.6209333E+07,    24.712,  3714.076
          29,  0.2844199E+06,  0.6209371E+07,   776.246,  8324.859
          30,  0.2844072E+06,  0.6209320E+07,   678.330,  8260.185
          31,  0.2843704E+06,  0.6209358E+07,    22.494,  4467.994
          32,  0.2843282E+06,  0.6209386E+07,   636.328,  6334.845
          33,  0.2843235E+06,  0.6209333E+07,   958.456,  5615.802
          34,  0.2842813E+06,  0.6209361E+07,    28.141,  2295.804
          35,  0.2842363E+06,  0.6209371E+07,   453.049,  8705.819
          36,  0.2842405E+06,  0.6209323E+07,   506.177,  8745.748
          37,  0.2841955E+06,  0.6209333E+07,    46.028,  4599.069
          38,  0.2841450E+06,  0.6209346E+07,  1269.225,  9701.676
          39,  0.2841639E+06,  0.6209290E+07,   874.402,  9524.198
          40,  0.2841135E+06,  0.6209303E+07,    41.263,  4230.450
          41,  0.2840583E+06,  0.6209315E+07,   707.170,  9191.428
          42,  0.2840799E+06,  0.6209261E+07,   891.275,  9364.913
          43,  0.2840247E+06,  0.6209273E+07,    34.970,  2898.779
          44,  0.2839710E+06,  0.6209296E+07,  1316.234,  9804.387
          45,  0.2839827E+06,  0.6209256E+07,  1083.932,  9615.636
          46,  0.2839289E+06,  0.6209279E+07,    30.139,  2755.231
          47,  0.2838782E+06,  0.6209307E+07,  2359.229,  9686.198
          48,  0.2838851E+06,  0.6209267E+07,  3322.031,  9988.880
          49,  0.2838343E+06,  0.6209295E+07,    28.235,  2218.415
          50,  0.2837858E+06,  0.6209323E+07,  1061.809,  8882.504
          51,  0.2837878E+06,  0.6209279E+07,  1327.489,  8958.182
          52,  0.2837392E+06,  0.6209306E+07,    23.140,  1351.612
          53,  0.2836947E+06,  0.6209342E+07,   890.591,  2529.946
          54,  0.2836905E+06,  0.6209291E+07,  1562.800,  4376.912
          55,  0.2836460E+06,  0.6209327E+07,    18.560,   973.330
          56,  0.2836125E+06,  0.6209351E+07,   717.125,  8872.805
          57,  0.2836058E+06,  0.6209307E+07,   861.436,  8815.879
          58,  0.2835723E+06,  0.6209331E+07,    23.505,  2837.788
          59,  0.2835362E+06,  0.6209355E+07,   669.420,  8849.462
          60,  0.2835330E+06,  0.6209321E+07,   710.998,  8996.816
          61,  0.2834969E+06,  0.6209345E+07,    17.884,  1479.397
          62,  0.2834677E+06,  0.6209371E+07,   437.090,  8852.598
          63,  0.2834601E+06,  0.6209333E+07,   794.823,  9292.508
          64,  0.2834308E+06,  0.6209359E+07,     8.641,   685.772
          65,  0.2834265E+06,  0.6209387E+07,   361.730,  7903.311
          66,  0.2834020E+06,  0.6209357E+07,   226.648,  8042.068
          67,  0.2833976E+06,  0.6209385E+07,    11.243,  1271.764
          68,  0.2833985E+06,  0.6209414E+07,   605.838,  8920.981
          69,  0.2833640E+06,  0.6209397E+07,   419.369,  9020.088
          70,  0.2833649E+06,  0.6209426E+07,    15.483,  2327.562
          71,  0.2833741E+06,  0.6209454E+07,   424.560,  9341.910
          72,  0.2833335E+06,  0.6209444E+07,   542.982,  9376.560
