id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.2851254E+06,  0.6208242E+07,    24.633,   150.160
           2,  0.2850619E+06,  0.6208308E+07,     6.622,    40.793
           3,  0.2851113E+06,  0.6208328E+07,     6.541,    40.298
           4,  0.2850479E+06,  0.6208394E+07,    13.710,   112.588
           5,  0.2850337E+06,  0.6208482E+07,     7.195,    47.720
           6,  0.2849792E+06,  0.6208457E+07,     7.284,    48.308
           7,  0.2849651E+06,  0.6208544E+07,     9.896,    82.335
           8,  0.2849463E+06,  0.6208628E+07,     4.267,    26.594
           9,  0.2849064E+06,  0.6208610E+07,     4.285,    26.705
          10,  0.2848876E+06,  0.6208694E+07,    12.987,   105.954
          11,  0.2848665E+06,  0.6208779E+07,     3.571,    19.852
          12,  0.2848385E+06,  0.6208765E+07,     3.616,    20.099
          13,  0.2848174E+06,  0.6208850E+07,    11.196,    97.713
          14,  0.2847977E+06,  0.6208937E+07,     4.393,    24.254
          15,  0.2847661E+06,  0.6208919E+07,     4.450,    24.567
          16,  0.2847464E+06,  0.6209005E+07,    11.552,   100.690
          17,  0.2847196E+06,  0.6209089E+07,     5.304,    28.401
          18,  0.2846845E+06,  0.6209067E+07,     5.356,    28.677
          19,  0.2846576E+06,  0.6209151E+07,     7.993,    71.729
          20,  0.2846492E+06,  0.6209204E+07,     5.688,    35.541
          21,  0.2846112E+06,  0.6209172E+07,     6.416,    40.074
          22,  0.2846028E+06,  0.6209225E+07,     6.298,    58.214
          23,  0.2845879E+06,  0.6209280E+07,     5.251,    37.095
          24,  0.2845544E+06,  0.6209238E+07,     5.956,    42.057
          25,  0.2845395E+06,  0.6209292E+07,     6.826,    62.357
          26,  0.2845090E+06,  0.6209336E+07,     4.929,    34.987
          27,  0.2844872E+06,  0.6209290E+07,     5.560,    39.450
          28,  0.2844567E+06,  0.6209333E+07,     7.053,    63.976
          29,  0.2844199E+06,  0.6209371E+07,     4.792,    35.657
          30,  0.2844072E+06,  0.6209320E+07,     5.321,    39.578
          31,  0.2843704E+06,  0.6209358E+07,     6.129,    70.530
          32,  0.2843282E+06,  0.6209386E+07,     4.716,   246.002
          33,  0.2843235E+06,  0.6209333E+07,     5.195,   252.688
          34,  0.2842813E+06,  0.6209361E+07,     5.766,    15.158
          35,  0.2842363E+06,  0.6209371E+07,     3.259,     5.721
          36,  0.2842405E+06,  0.6209323E+07,     3.638,     6.386
          37,  0.2841955E+06,  0.6209333E+07,     5.938,    11.337
          38,  0.2841450E+06,  0.6209346E+07,     4.054,     6.612
          39,  0.2841639E+06,  0.6209290E+07,     4.606,     7.512
          40,  0.2841135E+06,  0.6209303E+07,     4.695,     8.924
          41,  0.2840583E+06,  0.6209315E+07,     4.430,     7.925
          42,  0.2840799E+06,  0.6209261E+07,     4.182,     7.480
          43,  0.2840247E+06,  0.6209273E+07,     6.001,    13.184
          44,  0.2839710E+06,  0.6209296E+07,     3.425,     6.947
          45,  0.2839827E+06,  0.6209256E+07,     3.255,     6.602
          46,  0.2839289E+06,  0.6209279E+07,     5.837,    12.343
          47,  0.2838782E+06,  0.6209307E+07,     3.013,     4.820
          48,  0.2838851E+06,  0.6209267E+07,     2.867,     4.587
          49,  0.2838343E+06,  0.6209295E+07,     6.142,    13.545
          50,  0.2837858E+06,  0.6209323E+07,     4.070,     9.397
          51,  0.2837878E+06,  0.6209279E+07,     3.896,     8.995
          52,  0.2837392E+06,  0.6209306E+07,     6.297,    24.539
          53,  0.2836947E+06,  0.6209342E+07,     5.350,   354.624
          54,  0.2836905E+06,  0.6209291E+07,     5.044,   350.567
          55,  0.2836460E+06,  0.6209327E+07,     4.158,     9.855
          56,  0.2836125E+06,  0.6209351E+07,     3.245,     5.162
          57,  0.2836058E+06,  0.6209307E+07,     3.285,     5.226
          58,  0.2835723E+06,  0.6209331E+07,     4.864,     9.631
          59,  0.2835362E+06,  0.6209355E+07,     2.777,     4.752
          60,  0.2835330E+06,  0.6209321E+07,     2.969,     5.081
          61,  0.2834969E+06,  0.6209345E+07,     5.039,    12.435
          62,  0.2834677E+06,  0.6209371E+07,     4.154,     9.245
          63,  0.2834601E+06,  0.6209333E+07,     3.459,     7.698
          64,  0.2834308E+06,  0.6209359E+07,     2.571,     6.790
          65,  0.2834265E+06,  0.6209387E+07,     5.252,     9.735
          66,  0.2834020E+06,  0.6209357E+07,     2.581,     4.786
          67,  0.2833976E+06,  0.6209385E+07,     2.796,     6.039
          68,  0.2833985E+06,  0.6209414E+07,     3.304,     5.250
          69,  0.2833640E+06,  0.6209397E+07,     2.979,     4.734
          70,  0.2833649E+06,  0.6209426E+07,     3.461,     6.380
          71,  0.2833741E+06,  0.6209454E+07,     3.606,     5.109
          72,  0.2833335E+06,  0.6209444E+07,     2.915,     4.130
          73,  0.2833427E+06,  0.6209472E+07,     3.014,     5.620
          74,  0.2833577E+06,  0.6209530E+07,     4.247,     7.173
          75,  0.2833113E+06,  0.6209524E+07,     4.184,     7.066
          76,  0.2833263E+06,  0.6209582E+07,     8.223,    22.667
          77,  0.2833565E+06,  0.6209639E+07,     5.702,    32.765
          78,  0.2833089E+06,  0.6209635E+07,     5.642,    32.421
          79,  0.2833391E+06,  0.6209692E+07,     8.352,    78.568
          80,  0.2833798E+06,  0.6209746E+07,     5.942,    49.392
          81,  0.2833251E+06,  0.6209745E+07,     5.855,    48.678
          82,  0.2833658E+06,  0.6209800E+07,     7.455,    47.606
          83,  0.2834115E+06,  0.6209852E+07,     5.698,    25.900
          84,  0.2833475E+06,  0.6209855E+07,     5.615,    25.521
          85,  0.2833931E+06,  0.6209907E+07,     3.404,     9.130
          86,  0.2834239E+06,  0.6209933E+07,     4.437,     8.392
          87,  0.2833607E+06,  0.6209932E+07,     5.505,    10.411
          88,  0.2833914E+06,  0.6209958E+07,     2.988,     6.315
          89,  0.2834126E+06,  0.6209989E+07,     3.517,     6.435
          90,  0.2833620E+06,  0.6209978E+07,     4.461,     8.161
          91,  0.2833832E+06,  0.6210008E+07,     3.283,     7.213
          92,  0.2833922E+06,  0.6210042E+07,     3.134,     6.037
          93,  0.2833538E+06,  0.6210021E+07,     3.959,     7.625
          94,  0.2833628E+06,  0.6210055E+07,     3.164,     7.191
          95,  0.2833625E+06,  0.6210088E+07,     3.140,     5.867
          96,  0.2833314E+06,  0.6210054E+07,     4.546,     8.492
          97,  0.2833311E+06,  0.6210086E+07,     2.670,     6.567
          98,  0.2833206E+06,  0.6210114E+07,     3.347,     7.696
          99,  0.2833006E+06,  0.6210073E+07,     4.640,    10.669
         100,  0.2832901E+06,  0.6210100E+07,     2.899,    10.645
         101,  0.2832701E+06,  0.6210117E+07,     3.271,    22.835
         102,  0.2832658E+06,  0.6210077E+07,     4.728,    32.979
         103,  0.2832458E+06,  0.6210095E+07,     3.055,    26.786
         104,  0.2831706E+06,  0.6210099E+07,     3.366,    21.685
         105,  0.2831751E+06,  0.6210064E+07,     3.433,    22.115
         106,  0.2830999E+06,  0.6210068E+07,     9.601,    78.195
         107,  0.2830247E+06,  0.6210064E+07,     3.146,    16.317
         108,  0.2830313E+06,  0.6210035E+07,     3.221,    16.708
         109,  0.2829561E+06,  0.6210031E+07,    10.331,   101.424
         110,  0.2828795E+06,  0.6210025E+07,     3.846,   108.388
         111,  0.2828910E+06,  0.6209992E+07,     3.939,   109.326
         112,  0.2828145E+06,  0.6209986E+07,     8.348,    26.309
         113,  0.2827359E+06,  0.6209980E+07,     2.713,     5.414
         114,  0.2827513E+06,  0.6209948E+07,     2.777,     5.540
         115,  0.2826727E+06,  0.6209942E+07,     4.118,    10.386
         116,  0.2826257E+06,  0.6209939E+07,     1.999,     4.132
         117,  0.2826415E+06,  0.6209916E+07,     2.102,     4.345
         118,  0.2825944E+06,  0.6209913E+07,     5.556,    13.349
         119,  0.2825515E+06,  0.6209897E+07,     1.994,     3.290
         120,  0.2825704E+06,  0.6209880E+07,     2.088,     3.446
         121,  0.2825274E+06,  0.6209864E+07,     3.055,     6.564
         122,  0.2824940E+06,  0.6209854E+07,     1.929,     3.094
         123,  0.2825185E+06,  0.6209839E+07,     2.239,     3.591
         124,  0.2824851E+06,  0.6209829E+07,     3.220,     6.030
         125,  0.2824494E+06,  0.6209816E+07,     2.989,     4.343
         126,  0.2824901E+06,  0.6209800E+07,     3.516,     5.110
         127,  0.2824544E+06,  0.6209787E+07,     2.516,     4.196
         128,  0.2824157E+06,  0.6209770E+07,     4.298,     6.165
         129,  0.2824759E+06,  0.6209754E+07,     5.246,     7.523
         130,  0.2824372E+06,  0.6209737E+07,     3.302,     5.240
         131,  0.2824009E+06,  0.6209714E+07,     4.467,     6.305
         132,  0.2824678E+06,  0.6209708E+07,     5.719,     8.071
         133,  0.2824315E+06,  0.6209685E+07,     3.396,     5.127
         134,  0.2824005E+06,  0.6209628E+07,     4.599,     6.167
         135,  0.2824665E+06,  0.6209629E+07,     4.660,     6.248
         136,  0.2824355E+06,  0.6209573E+07,     6.098,     8.815
         137,  0.2824157E+06,  0.6209517E+07,     3.685,     4.809
         138,  0.2824715E+06,  0.6209518E+07,     3.732,     4.870
         139,  0.2824516E+06,  0.6209462E+07,     6.426,     9.075
         140,  0.2824383E+06,  0.6209406E+07,     2.966,     3.748
         141,  0.2824846E+06,  0.6209407E+07,     3.020,     3.817
         142,  0.2824712E+06,  0.6209352E+07,     7.362,    11.965
         143,  0.2824610E+06,  0.6209295E+07,     4.258,     7.892
         144,  0.2825073E+06,  0.6209299E+07,     4.354,     8.069
         145,  0.2824971E+06,  0.6209243E+07,     7.666,    23.763
         146,  0.2824930E+06,  0.6209187E+07,     5.137,    29.595
         147,  0.2825383E+06,  0.6209195E+07,     5.412,    31.173
         148,  0.2825342E+06,  0.6209139E+07,     5.783,    54.483
         149,  0.2825187E+06,  0.6209100E+07,     6.525,    41.867
         150,  0.2825620E+06,  0.6209102E+07,     5.379,    34.613
         151,  0.2825465E+06,  0.6209062E+07,     5.686,    31.583
         152,  0.2825197E+06,  0.6209029E+07,     5.572,    17.414
         153,  0.2825640E+06,  0.6209015E+07,     4.474,    13.987
         154,  0.2825372E+06,  0.6208983E+07,     5.485,    20.839
         155,  0.2824931E+06,  0.6208967E+07,     6.494,    16.445
         156,  0.2825347E+06,  0.6208934E+07,     5.158,    13.065
         157,  0.2824906E+06,  0.6208918E+07,     6.053,    26.142
         158,  0.2824324E+06,  0.6208922E+07,     8.567,    50.721
         159,  0.2824617E+06,  0.6208872E+07,     6.686,    39.624
         160,  0.2824035E+06,  0.6208875E+07,     7.840,    68.396
         161,  0.2823499E+06,  0.6208906E+07,    11.775,    64.972
         162,  0.2823590E+06,  0.6208836E+07,     9.201,    50.838
         163,  0.2823054E+06,  0.6208867E+07,     8.195,    72.169
         164,  0.2822634E+06,  0.6208911E+07,    15.804,    83.442
         165,  0.2822492E+06,  0.6208829E+07,    12.450,    65.841
         166,  0.2822072E+06,  0.6208873E+07,     9.003,    73.006
         167,  0.2820821E+06,  0.6208974E+07,    10.559,    59.634
         168,  0.2820538E+06,  0.6208903E+07,     9.995,    56.466
         169,  0.2819287E+06,  0.6209004E+07,    28.496,   229.024
         170,  0.2818231E+06,  0.6209128E+07,     7.358,    49.069
         171,  0.2817888E+06,  0.6209076E+07,     7.132,    47.571
         172,  0.2816832E+06,  0.6209199E+07,    26.387,   217.656
         173,  0.2815920E+06,  0.6209332E+07,     6.806,    43.581
         174,  0.2815510E+06,  0.6209287E+07,     6.605,    42.298
         175,  0.2814598E+06,  0.6209420E+07,    19.806,   202.741
         176,  0.2813657E+06,  0.6209541E+07,     5.651,   197.165
         177,  0.2813274E+06,  0.6209514E+07,     5.454,   195.078
         178,  0.2812332E+06,  0.6209635E+07,    30.913,    56.333
         179,  0.2811435E+06,  0.6209754E+07,     4.104,     5.038
         180,  0.2810956E+06,  0.6209730E+07,     4.000,     4.910
         181,  0.2810058E+06,  0.6209849E+07,    15.028,    20.100
         182,  0.2810267E+06,  0.6209950E+07,     7.168,     8.465
         183,  0.2809414E+06,  0.6209934E+07,     5.661,     6.686
         184,  0.2809623E+06,  0.6210035E+07,    10.384,    13.078
         185,  0.2810490E+06,  0.6210121E+07,     7.316,     8.603
         186,  0.2809519E+06,  0.6210135E+07,     6.300,     7.409
         187,  0.2810386E+06,  0.6210221E+07,     9.068,    13.705
         188,  0.2810665E+06,  0.6210287E+07,     9.470,    96.223
         189,  0.2809932E+06,  0.6210304E+07,    10.982,   107.768
         190,  0.2810210E+06,  0.6210370E+07,     9.714,    32.447
         191,  0.2810097E+06,  0.6210436E+07,     4.188,     8.982
         192,  0.2809605E+06,  0.6210424E+07,     5.770,    12.371
         193,  0.2809492E+06,  0.6210490E+07,    10.959,    37.658
         194,  0.2809123E+06,  0.6210622E+07,     6.888,    36.555
         195,  0.2808685E+06,  0.6210596E+07,     6.512,    34.563
         196,  0.2808316E+06,  0.6210728E+07,    21.916,   163.811
         197,  0.2808289E+06,  0.6210864E+07,     7.397,    39.122
         198,  0.2807745E+06,  0.6210854E+07,     6.733,    35.621
         199,  0.2807717E+06,  0.6210991E+07,    22.743,   189.574
         200,  0.2807961E+06,  0.6211118E+07,     9.623,    73.023
         201,  0.2807345E+06,  0.6211122E+07,     9.477,    72.065
         202,  0.2807589E+06,  0.6211250E+07,    20.758,    87.229
         203,  0.2808193E+06,  0.6211371E+07,     5.728,    17.268
         204,  0.2807545E+06,  0.6211376E+07,     5.784,    17.435
         205,  0.2808149E+06,  0.6211498E+07,    17.374,    63.396
         206,  0.2808982E+06,  0.6211614E+07,     5.406,    17.975
         207,  0.2808409E+06,  0.6211626E+07,     5.019,    16.690
         208,  0.2809241E+06,  0.6211742E+07,     8.550,    16.551
         209,  0.2809779E+06,  0.6211792E+07,     3.449,     4.884
         210,  0.2809425E+06,  0.6211822E+07,     2.783,     3.941
         211,  0.2809963E+06,  0.6211872E+07,     8.506,    12.047
         212,  0.2810656E+06,  0.6211883E+07,     3.607,     4.469
         213,  0.2810535E+06,  0.6211939E+07,     2.870,     3.556
         214,  0.2811227E+06,  0.6211950E+07,     4.171,     5.411
         215,  0.2811515E+06,  0.6211906E+07,     5.468,     6.718
         216,  0.2811639E+06,  0.6211982E+07,     3.706,     4.554
         217,  0.2811927E+06,  0.6211937E+07,     3.665,     4.804
         218,  0.2812007E+06,  0.6211878E+07,     5.667,     7.245
         219,  0.2812367E+06,  0.6211947E+07,     3.878,     4.958
         220,  0.2812447E+06,  0.6211887E+07,     3.741,     4.990
         221,  0.2812418E+06,  0.6211836E+07,     4.885,     6.111
         222,  0.2812916E+06,  0.6211881E+07,     3.317,     4.149
         223,  0.2812887E+06,  0.6211830E+07,     4.198,     5.497
         224,  0.2813293E+06,  0.6211748E+07,     2.530,     3.090
         225,  0.2813678E+06,  0.6211776E+07,     2.780,     3.395
         226,  0.2814084E+06,  0.6211694E+07,     9.545,    12.333
         227,  0.2814823E+06,  0.6211640E+07,     1.844,     2.184
         228,  0.2814989E+06,  0.6211671E+07,     2.002,     2.372
         229,  0.2815728E+06,  0.6211617E+07,     2.268,     2.951
         230,  0.2815934E+06,  0.6211595E+07,     1.762,     2.117
         231,  0.2815990E+06,  0.6211629E+07,     2.121,     2.550
         232,  0.2816197E+06,  0.6211606E+07,     2.426,     3.242
         233,  0.2816460E+06,  0.6211592E+07,     1.649,     2.007
         234,  0.2816418E+06,  0.6211623E+07,     2.016,     2.453
         235,  0.2816681E+06,  0.6211608E+07,     2.404,     3.281
         236,  0.2816969E+06,  0.6211604E+07,     1.576,     1.920
         237,  0.2816841E+06,  0.6211630E+07,     1.917,     2.335
         238,  0.2817128E+06,  0.6211626E+07,     2.606,     3.530
         239,  0.2817504E+06,  0.6211644E+07,     1.755,     2.109
         240,  0.2817249E+06,  0.6211665E+07,     2.173,     2.612
         241,  0.2817624E+06,  0.6211683E+07,     3.440,     4.496
         242,  0.2818001E+06,  0.6211709E+07,     2.444,     2.898
         243,  0.2817567E+06,  0.6211724E+07,     2.882,     3.418
