Date,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonium_mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL
01/01/2005,0.00058604138951819,0.1,26.3051371179797,33.5730747510376,236.96541410873,0,4.44236866839616,17.7694746735846,1.18087385198765,0,508.333333333333,133.333333333333,11.8463164490564,39.9813180155654,0.49721004294217,1.42947887345874,0.01375,0.011,0.01375,0.01375,0,0,0,0
02/01/2005,0.000328370782533546,0.1,26.3764918925008,33.5746987437155,235.719251726306,0,4.459890526527,17.839562106108,1.18711834953717,0,508.333333333333,133.333333333333,11.893041404072,40.139014738743,0.499839305068282,1.43703800207131,0.01375,0.011,0.01375,0.01375,0,0,0,0
03/01/2005,0.000192479370677492,0.1,26.4458110794992,33.5781369766982,234.481942079986,0,4.47681259607475,17.907250384299,1.19313454876731,0,508.333333333333,133.333333333333,11.938166922866,40.2913133646727,0.502372441586236,1.44432076956043,0.01375,0.011,0.01375,0.01375,0,0,0,0
04/01/2005,0.000117417844372663,0.1,26.5130741590243,33.5826911407522,233.253851439682,0,4.4929841191902,17.9719364767608,1.1988740449195,0,508.333333333333,133.333333333333,11.9812909845072,40.4368570727118,0.504789071545051,1.45126858069202,0.01375,0.011,0.01375,0.01375,0,0,0,0
05/01/2005,0.003695953321189,0.1,26.5782612197774,39.7390514317203,232.035343346284,0,8.01747299459754,32.0698919783902,2.40876968470293,0,508.333333333333,133.333333333333,21.3799279855934,72.1572569513779,1.01421881461176,2.91587909200881,0.01375,0.011,0.01375,0.01375,0,0,0,0
06/01/2005,0.0143516975275477,0.1,26.6413529650052,39.9359809669465,230.826778504046,0,8.12134524737252,32.4853809894901,2.44435194049626,0,508.333333333333,133.333333333333,21.6569206596601,73.0921072263527,1.02920081705106,2.95895234902179,0.01375,0.011,0.01375,0.01375,0,0,0,0
07/01/2005,0.00788279095483832,0.1,26.7023307182122,39.9442424463887,229.628514673805,0,8.12609050566605,32.5043620226642,2.44598097383559,0,508.333333333333,133.333333333333,21.6695746817761,73.1348145509944,1.02988672582551,2.96092433674835,0.01375,0.011,0.01375,0.01375,0,0,0,0
08/01/2005,0.00398882892694225,0.1,26.7611764286895,39.9480448709233,228.440906567085,0,8.12827057412665,32.5130822965066,2.44672936168762,0,508.333333333333,133.333333333333,21.6753881976711,73.1544351671398,1.03020183650005,2.96183027993765,0.01375,0.011,0.01375,0.01375,0,0,0,0
09/01/2005,0.0020332102030757,0.1,26.817872676858,39.950268564184,227.264305741087,0,8.12954282219887,32.5181712887955,2.44716609146149,0,508.333333333333,133.333333333333,21.678780859197,73.1658853997898,1.03038572272063,2.9623589528218,0.01375,0.011,0.01375,0.01375,0,0,0,0
10/01/2005,0.00107155677709536,0.1,26.8724026794253,39.9517368606342,226.099060494622,0,8.13038096510138,32.5215238604055,2.44745379292281,0,508.333333333333,133.333333333333,21.681015906937,73.1734286859124,1.03050686017802,2.96270722301182,0.01375,0.011,0.01375,0.01375,0,0,0,0
