id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.3462918E+06,  0.6286517E+07,     5.250,     9.371
           2,  0.3461849E+06,  0.6286746E+07,     3.569,     6.510
           3,  0.3463364E+06,  0.6286913E+07,     6.324,    11.721
           4,  0.3460515E+06,  0.6285944E+07,     4.959,     8.530
           5,  0.3459592E+06,  0.6286187E+07,     7.146,    12.599
           6,  0.3458112E+06,  0.6285372E+07,     4.712,     8.089
           7,  0.3457334E+06,  0.6285627E+07,     7.331,    12.712
           8,  0.3455708E+06,  0.6284800E+07,     4.460,     7.635
           9,  0.3455077E+06,  0.6285068E+07,     7.562,    13.067
          10,  0.3453305E+06,  0.6284228E+07,     4.217,     7.308
          11,  0.3452819E+06,  0.6284508E+07,     7.805,    13.490
          12,  0.3450902E+06,  0.6283655E+07,     4.062,     7.752
          13,  0.3450562E+06,  0.6283949E+07,     8.146,    14.689
          14,  0.3448304E+06,  0.6283390E+07,     1.997,     4.276
          15,  0.3448095E+06,  0.6283326E+07,     1.736,     4.745
          16,  0.3459293E+06,  0.6286840E+07,     5.491,    10.116
          17,  0.3458522E+06,  0.6286416E+07,     5.564,     9.914
          18,  0.3456599E+06,  0.6286603E+07,     4.385,     7.947
          19,  0.3460809E+06,  0.6287006E+07,     3.456,     6.574
          20,  0.3456699E+06,  0.6286955E+07,     3.979,     7.437
          21,  0.3458640E+06,  0.6287126E+07,     4.463,     8.592
          22,  0.3461940E+06,  0.6287138E+07,     4.738,     9.244
          23,  0.3456411E+06,  0.6285869E+07,     5.270,     9.131
          24,  0.3454753E+06,  0.6286075E+07,     6.568,    11.671
          25,  0.3454299E+06,  0.6285323E+07,     5.007,     8.660
          26,  0.3452907E+06,  0.6285548E+07,     6.733,    11.876
          27,  0.3452188E+06,  0.6284776E+07,     4.741,     8.180
          28,  0.3451062E+06,  0.6285020E+07,     6.933,    12.196
          29,  0.3450076E+06,  0.6284230E+07,     4.488,     7.871
          30,  0.3449216E+06,  0.6284492E+07,     7.165,    12.660
