Date,Q_m3s
01/01/2005 00:00:00,0.1272
02/01/2005 00:00:00,0.117
03/01/2005 00:00:00,0.1527
04/01/2005 00:00:00,0.0443
05/01/2005 00:00:00,0.0434
06/01/2005 00:00:00,0.1793
07/01/2005 00:00:00,0.1883
08/01/2005 00:00:00,0.117
09/01/2005 00:00:00,0.1018
10/01/2005 00:00:00,0.1578
11/01/2005 00:00:00,0.056
12/01/2005 00:00:00,0.1832
13/01/2005 00:00:00,0.1781
14/01/2005 00:00:00,0.2137
15/01/2005 00:00:00,0.0954
16/01/2005 00:00:00,0.1361
17/01/2005 00:00:00,0
18/01/2005 00:00:00,0
19/01/2005 00:00:00,0.013
20/01/2005 00:00:00,0.1815
21/01/2005 00:00:00,0
22/01/2005 00:00:00,0.0013
23/01/2005 00:00:00,0
24/01/2005 00:00:00,0
25/01/2005 00:00:00,0
26/01/2005 00:00:00,0
27/01/2005 00:00:00,0
28/01/2005 00:00:00,0
29/01/2005 00:00:00,0
30/01/2005 00:00:00,0
31/01/2005 00:00:00,0
01/02/2005 00:00:00,0
02/02/2005 00:00:00,0
03/02/2005 00:00:00,0
04/02/2005 00:00:00,0
05/02/2005 00:00:00,0
06/02/2005 00:00:00,0
07/02/2005 00:00:00,0
08/02/2005 00:00:00,0
09/02/2005 00:00:00,0
10/02/2005 00:00:00,0
11/02/2005 00:00:00,0
12/02/2005 00:00:00,0
13/02/2005 00:00:00,0
14/02/2005 00:00:00,0
15/02/2005 00:00:00,0.0046
16/02/2005 00:00:00,0.0147
17/02/2005 00:00:00,0.0204
18/02/2005 00:00:00,0.0871
19/02/2005 00:00:00,0.0875
20/02/2005 00:00:00,0
21/02/2005 00:00:00,0
22/02/2005 00:00:00,0
23/02/2005 00:00:00,0
24/02/2005 00:00:00,0
25/02/2005 00:00:00,0
26/02/2005 00:00:00,0
27/02/2005 00:00:00,0
28/02/2005 00:00:00,0
01/03/2005 00:00:00,0
02/03/2005 00:00:00,0
03/03/2005 00:00:00,0
04/03/2005 00:00:00,0
05/03/2005 00:00:00,0
06/03/2005 00:00:00,0.0028
07/03/2005 00:00:00,0.0281
08/03/2005 00:00:00,0.087
09/03/2005 00:00:00,0.1044
10/03/2005 00:00:00,0.1361
11/03/2005 00:00:00,0.0909
12/03/2005 00:00:00,0.1504
13/03/2005 00:00:00,0.1576
14/03/2005 00:00:00,0.1492
15/03/2005 00:00:00,0.1571
16/03/2005 00:00:00,0.0916
17/03/2005 00:00:00,0
18/03/2005 00:00:00,0
19/03/2005 00:00:00,0
20/03/2005 00:00:00,0
21/03/2005 00:00:00,0
22/03/2005 00:00:00,0
23/03/2005 00:00:00,0
24/03/2005 00:00:00,0
25/03/2005 00:00:00,0
26/03/2005 00:00:00,0
27/03/2005 00:00:00,0
28/03/2005 00:00:00,0
29/03/2005 00:00:00,0.0034
30/03/2005 00:00:00,0.0106
31/03/2005 00:00:00,0.0146
01/04/2005 00:00:00,0.0693
02/04/2005 00:00:00,0.1053
03/04/2005 00:00:00,0.1676
04/04/2005 00:00:00,0
05/04/2005 00:00:00,0
06/04/2005 00:00:00,0.0081
07/04/2005 00:00:00,0.0523
08/04/2005 00:00:00,0.0465
09/04/2005 00:00:00,0.0965
10/04/2005 00:00:00,0.0909
11/04/2005 00:00:00,0.0501
12/04/2005 00:00:00,0
13/04/2005 00:00:00,0.0545
14/04/2005 00:00:00,0.0737
15/04/2005 00:00:00,0.0445
16/04/2005 00:00:00,0.0445
17/04/2005 00:00:00,0.0891
18/04/2005 00:00:00,0.1448
19/04/2005 00:00:00,0.0919
20/04/2005 00:00:00,0
21/04/2005 00:00:00,0
22/04/2005 00:00:00,0
23/04/2005 00:00:00,0.0579
24/04/2005 00:00:00,0.0348
