Date,Q_m3s
01/01/2005 00:00:00,0.0065
02/01/2005 00:00:00,0.006
03/01/2005 00:00:00,0.0078
04/01/2005 00:00:00,0
05/01/2005 00:00:00,0.0103
06/01/2005 00:00:00,0.0092
07/01/2005 00:00:00,0.0096
08/01/2005 00:00:00,0.006
09/01/2005 00:00:00,0.0045
10/01/2005 00:00:00,0.0081
11/01/2005 00:00:00,0.0029
12/01/2005 00:00:00,0.0094
13/01/2005 00:00:00,0.0091
14/01/2005 00:00:00,0.0109
15/01/2005 00:00:00,0.0056
16/01/2005 00:00:00,0.0019
17/01/2005 00:00:00,0
18/01/2005 00:00:00,0
19/01/2005 00:00:00,0.0049
20/01/2005 00:00:00,0.0095
21/01/2005 00:00:00,0
22/01/2005 00:00:00,0.0056
23/01/2005 00:00:00,0
24/01/2005 00:00:00,0
25/01/2005 00:00:00,0
26/01/2005 00:00:00,0
27/01/2005 00:00:00,0
28/01/2005 00:00:00,0
29/01/2005 00:00:00,0
30/01/2005 00:00:00,0
31/01/2005 00:00:00,0
01/02/2005 00:00:00,0
02/02/2005 00:00:00,0
03/02/2005 00:00:00,0
04/02/2005 00:00:00,0
05/02/2005 00:00:00,0
06/02/2005 00:00:00,0
07/02/2005 00:00:00,0
08/02/2005 00:00:00,0
09/02/2005 00:00:00,0
10/02/2005 00:00:00,0
11/02/2005 00:00:00,0
12/02/2005 00:00:00,0
13/02/2005 00:00:00,0
14/02/2005 00:00:00,0
15/02/2005 00:00:00,0
16/02/2005 00:00:00,0
17/02/2005 00:00:00,0.0036
18/02/2005 00:00:00,0.0049
19/02/2005 00:00:00,0.0049
20/02/2005 00:00:00,0
21/02/2005 00:00:00,0
22/02/2005 00:00:00,0
23/02/2005 00:00:00,0
24/02/2005 00:00:00,0
25/02/2005 00:00:00,0
26/02/2005 00:00:00,0
27/02/2005 00:00:00,0
28/02/2005 00:00:00,0
01/03/2005 00:00:00,0
02/03/2005 00:00:00,0
03/03/2005 00:00:00,0.0018
04/03/2005 00:00:00,0
05/03/2005 00:00:00,0
06/03/2005 00:00:00,0.0157
07/03/2005 00:00:00,0.0124
08/03/2005 00:00:00,0.0115
09/03/2005 00:00:00,0.0138
10/03/2005 00:00:00,0.013
11/03/2005 00:00:00,0.0084
12/03/2005 00:00:00,0.0144
13/03/2005 00:00:00,0.0144
14/03/2005 00:00:00,0.0133
15/03/2005 00:00:00,0.0138
16/03/2005 00:00:00,0.0081
17/03/2005 00:00:00,0
18/03/2005 00:00:00,0
19/03/2005 00:00:00,0
20/03/2005 00:00:00,0
21/03/2005 00:00:00,0
22/03/2005 00:00:00,0.0073
23/03/2005 00:00:00,0
24/03/2005 00:00:00,0
25/03/2005 00:00:00,0
26/03/2005 00:00:00,0
27/03/2005 00:00:00,0
28/03/2005 00:00:00,0.0051
29/03/2005 00:00:00,0.0104
30/03/2005 00:00:00,0.0052
31/03/2005 00:00:00,0.0063
01/04/2005 00:00:00,0.0066
02/04/2005 00:00:00,0.0095
03/04/2005 00:00:00,0.0147
04/04/2005 00:00:00,0
05/04/2005 00:00:00,0
