Date,Q_m3s
01/01/2005 00:00:00,0.003
02/01/2005 00:00:00,0.0027
03/01/2005 00:00:00,0.0036
04/01/2005 00:00:00,0
05/01/2005 00:00:00,0.0039
06/01/2005 00:00:00,0.0042
07/01/2005 00:00:00,0.0044
08/01/2005 00:00:00,0.0027
09/01/2005 00:00:00,0.0024
10/01/2005 00:00:00,0.0037
11/01/2005 00:00:00,0.0013
12/01/2005 00:00:00,0.0043
13/01/2005 00:00:00,0.0042
14/01/2005 00:00:00,0.005
15/01/2005 00:00:00,0.0026
16/01/2005 00:00:00,0
17/01/2005 00:00:00,0
18/01/2005 00:00:00,0
19/01/2005 00:00:00,0.001
20/01/2005 00:00:00,0.0043
21/01/2005 00:00:00,0
22/01/2005 00:00:00,0
23/01/2005 00:00:00,0
24/01/2005 00:00:00,0
25/01/2005 00:00:00,0
26/01/2005 00:00:00,0
27/01/2005 00:00:00,0
28/01/2005 00:00:00,0
29/01/2005 00:00:00,0
30/01/2005 00:00:00,0
31/01/2005 00:00:00,0
01/02/2005 00:00:00,0
02/02/2005 00:00:00,0
03/02/2005 00:00:00,0
04/02/2005 00:00:00,0
05/02/2005 00:00:00,0
06/02/2005 00:00:00,0
07/02/2005 00:00:00,0
08/02/2005 00:00:00,0
09/02/2005 00:00:00,0
10/02/2005 00:00:00,0
11/02/2005 00:00:00,0
12/02/2005 00:00:00,0
13/02/2005 00:00:00,0
14/02/2005 00:00:00,0.0001
15/02/2005 00:00:00,0.0001
16/02/2005 00:00:00,0.0008
17/02/2005 00:00:00,0.0017
18/02/2005 00:00:00,0.0023
19/02/2005 00:00:00,0.0024
20/02/2005 00:00:00,0
21/02/2005 00:00:00,0
22/02/2005 00:00:00,0
23/02/2005 00:00:00,0
24/02/2005 00:00:00,0
25/02/2005 00:00:00,0
26/02/2005 00:00:00,0
27/02/2005 00:00:00,0
28/02/2005 00:00:00,0
01/03/2005 00:00:00,0
02/03/2005 00:00:00,0
03/03/2005 00:00:00,0
04/03/2005 00:00:00,0
05/03/2005 00:00:00,0
06/03/2005 00:00:00,0.0028
07/03/2005 00:00:00,0.0027
08/03/2005 00:00:00,0.0025
09/03/2005 00:00:00,0.003
10/03/2005 00:00:00,0.0028
11/03/2005 00:00:00,0.0018
12/03/2005 00:00:00,0.0031
13/03/2005 00:00:00,0.0031
14/03/2005 00:00:00,0.0029
15/03/2005 00:00:00,0.003
16/03/2005 00:00:00,0.0017
17/03/2005 00:00:00,0
18/03/2005 00:00:00,0
19/03/2005 00:00:00,0
20/03/2005 00:00:00,0
21/03/2005 00:00:00,0.0013
22/03/2005 00:00:00,0.0022
23/03/2005 00:00:00,0
24/03/2005 00:00:00,0
25/03/2005 00:00:00,0
26/03/2005 00:00:00,0
27/03/2005 00:00:00,0
28/03/2005 00:00:00,0
29/03/2005 00:00:00,0.0009
30/03/2005 00:00:00,0.0011
31/03/2005 00:00:00,0.0014
01/04/2005 00:00:00,0.0017
02/04/2005 00:00:00,0.0025
03/04/2005 00:00:00,0.0038
04/04/2005 00:00:00,0
05/04/2005 00:00:00,0
06/04/2005 00:00:00,0
07/04/2005 00:00:00,0.0006
08/04/2005 00:00:00,0.0006
09/04/2005 00:00:00,0.0022
10/04/2005 00:00:00,0.0021
11/04/2005 00:00:00,0.0011
12/04/2005 00:00:00,0.0007
13/04/2005 00:00:00,0.002
14/04/2005 00:00:00,0.0017
15/04/2005 00:00:00,0.001
16/04/2005 00:00:00,0.001
17/04/2005 00:00:00,0.002
18/04/2005 00:00:00,0.0032
19/04/2005 00:00:00,0.002
20/04/2005 00:00:00,0.0007
21/04/2005 00:00:00,0.0007
22/04/2005 00:00:00,0.0012
23/04/2005 00:00:00,0.002
24/04/2005 00:00:00,0.0007
25/04/2005 00:00:00,0.0017
26/04/2005 00:00:00,0.0012
27/04/2005 00:00:00,0.0016
28/04/2005 00:00:00,0.002
29/04/2005 00:00:00,0.0013
30/04/2005 00:00:00,0.0018
01/05/2005 00:00:00,0.001
02/05/2005 00:00:00,0.0003
03/05/2005 00:00:00,0.0005
04/05/2005 00:00:00,0.0007
05/05/2005 00:00:00,0.0008
06/05/2005 00:00:00,0.0004
07/05/2005 00:00:00,0.0003
08/05/2005 00:00:00,0.0005
09/05/2005 00:00:00,0.0006
10/05/2005 00:00:00,0.0005
11/05/2005 00:00:00,0.0005
12/05/2005 00:00:00,0.0007
13/05/2005 00:00:00,0.0005
14/05/2005 00:00:00,0.0004
15/05/2005 00:00:00,0.0009
16/05/2005 00:00:00,0.0007
17/05/2005 00:00:00,0
18/05/2005 00:00:00,0
19/05/2005 00:00:00,0.0001
20/05/2005 00:00:00,0.0001
21/05/2005 00:00:00,0.0001
22/05/2005 00:00:00,0.0007
23/05/2005 00:00:00,0.0005
24/05/2005 00:00:00,0.0003
25/05/2005 00:00:00,0.0007
26/05/2005 00:00:00,0.0007
27/05/2005 00:00:00,0.0008
28/05/2005 00:00:00,0.0008
29/05/2005 00:00:00,0.0005
30/05/2005 00:00:00,0.0005
31/05/2005 00:00:00,0.0006
01/06/2005 00:00:00,0.0004
02/06/2005 00:00:00,0.0004
03/06/2005 00:00:00,0.0003
04/06/2005 00:00:00,0.0004
05/06/2005 00:00:00,0.0003
06/06/2005 00:00:00,0.0004
07/06/2005 00:00:00,0.0003
08/06/2005 00:00:00,0.0004
09/06/2005 00:00:00,0.0003
10/06/2005 00:00:00,0.0004
11/06/2005 00:00:00,0.0002
12/06/2005 00:00:00,0
13/06/2005 00:00:00,0
14/06/2005 00:00:00,0
15/06/2005 00:00:00,0
16/06/2005 00:00:00,0.0001
17/06/2005 00:00:00,0.0001
18/06/2005 00:00:00,0
19/06/2005 00:00:00,0.0002
20/06/2005 00:00:00,0.0008
21/06/2005 00:00:00,0.0008
22/06/2005 00:00:00,0.0006
23/06/2005 00:00:00,0.0001
24/06/2005 00:00:00,0
25/06/2005 00:00:00,0
26/06/2005 00:00:00,0
27/06/2005 00:00:00,0
28/06/2005 00:00:00,0
29/06/2005 00:00:00,0
30/06/2005 00:00:00,0
01/07/2005 00:00:00,0
02/07/2005 00:00:00,0
03/07/2005 00:00:00,0
04/07/2005 00:00:00,0
05/07/2005 00:00:00,0
06/07/2005 00:00:00,0
07/07/2005 00:00:00,0
08/07/2005 00:00:00,0
09/07/2005 00:00:00,0
10/07/2005 00:00:00,0
11/07/2005 00:00:00,0
12/07/2005 00:00:00,0
13/07/2005 00:00:00,0
14/07/2005 00:00:00,0
15/07/2005 00:00:00,0
16/07/2005 00:00:00,0
17/07/2005 00:00:00,0
18/07/2005 00:00:00,0
19/07/2005 00:00:00,0
20/07/2005 00:00:00,0
21/07/2005 00:00:00,0
22/07/2005 00:00:00,0
23/07/2005 00:00:00,0
24/07/2005 00:00:00,0
25/07/2005 00:00:00,0
26/07/2005 00:00:00,0
27/07/2005 00:00:00,0
28/07/2005 00:00:00,0
29/07/2005 00:00:00,0
30/07/2005 00:00:00,0
31/07/2005 00:00:00,0
01/08/2005 00:00:00,0
02/08/2005 00:00:00,0
03/08/2005 00:00:00,0
04/08/2005 00:00:00,0
05/08/2005 00:00:00,0
06/08/2005 00:00:00,0
07/08/2005 00:00:00,0
08/08/2005 00:00:00,0
09/08/2005 00:00:00,0
10/08/2005 00:00:00,0
11/08/2005 00:00:00,0
12/08/2005 00:00:00,0
13/08/2005 00:00:00,0
14/08/2005 00:00:00,0
15/08/2005 00:00:00,0
16/08/2005 00:00:00,0
17/08/2005 00:00:00,0
18/08/2005 00:00:00,0
19/08/2005 00:00:00,0
20/08/2005 00:00:00,0
21/08/2005 00:00:00,0
22/08/2005 00:00:00,0
23/08/2005 00:00:00,0
24/08/2005 00:00:00,0
25/08/2005 00:00:00,0
26/08/2005 00:00:00,0
27/08/2005 00:00:00,0
28/08/2005 00:00:00,0
29/08/2005 00:00:00,0
30/08/2005 00:00:00,0
31/08/2005 00:00:00,0
01/09/2005 00:00:00,0
02/09/2005 00:00:00,0.0001
03/09/2005 00:00:00,0
04/09/2005 00:00:00,0
05/09/2005 00:00:00,0
06/09/2005 00:00:00,0
07/09/2005 00:00:00,0
08/09/2005 00:00:00,0
09/09/2005 00:00:00,0.0001
10/09/2005 00:00:00,0.0001
11/09/2005 00:00:00,0
12/09/2005 00:00:00,0.0001
13/09/2005 00:00:00,0.0001
14/09/2005 00:00:00,0.0013
15/09/2005 00:00:00,0.0021
16/09/2005 00:00:00,0.0006
17/09/2005 00:00:00,0
18/09/2005 00:00:00,0
19/09/2005 00:00:00,0
20/09/2005 00:00:00,0
21/09/2005 00:00:00,0.0001
22/09/2005 00:00:00,0.0001
23/09/2005 00:00:00,0.0011
24/09/2005 00:00:00,0.0017
25/09/2005 00:00:00,0.0012
26/09/2005 00:00:00,0
27/09/2005 00:00:00,0
28/09/2005 00:00:00,0
29/09/2005 00:00:00,0
30/09/2005 00:00:00,0
01/10/2005 00:00:00,0
02/10/2005 00:00:00,0.0001
03/10/2005 00:00:00,0.0003
04/10/2005 00:00:00,0.0014
05/10/2005 00:00:00,0.0026
06/10/2005 00:00:00,0.0022
07/10/2005 00:00:00,0.0022
08/10/2005 00:00:00,0
09/10/2005 00:00:00,0
10/10/2005 00:00:00,0.0013
11/10/2005 00:00:00,0.0033
12/10/2005 00:00:00,0.0007
13/10/2005 00:00:00,0.0014
14/10/2005 00:00:00,0.0008
15/10/2005 00:00:00,0.0009
16/10/2005 00:00:00,0.0005
17/10/2005 00:00:00,0
18/10/2005 00:00:00,0
19/10/2005 00:00:00,0
20/10/2005 00:00:00,0
21/10/2005 00:00:00,0
22/10/2005 00:00:00,0
23/10/2005 00:00:00,0
24/10/2005 00:00:00,0
25/10/2005 00:00:00,0
26/10/2005 00:00:00,0.0002
27/10/2005 00:00:00,0.0003
28/10/2005 00:00:00,0.0005
29/10/2005 00:00:00,0.0033
30/10/2005 00:00:00,0
31/10/2005 00:00:00,0
01/11/2005 00:00:00,0
02/11/2005 00:00:00,0
03/11/2005 00:00:00,0
04/11/2005 00:00:00,0
05/11/2005 00:00:00,0
06/11/2005 00:00:00,0
07/11/2005 00:00:00,0
08/11/2005 00:00:00,0
09/11/2005 00:00:00,0
10/11/2005 00:00:00,0
11/11/2005 00:00:00,0
12/11/2005 00:00:00,0
13/11/2005 00:00:00,0
14/11/2005 00:00:00,0.0001
15/11/2005 00:00:00,0.0001
16/11/2005 00:00:00,0
17/11/2005 00:00:00,0.0002
18/11/2005 00:00:00,0.0002
19/11/2005 00:00:00,0.0003
20/11/2005 00:00:00,0.0004
21/11/2005 00:00:00,0.0003
22/11/2005 00:00:00,0.0046
23/11/2005 00:00:00,0
24/11/2005 00:00:00,0
25/11/2005 00:00:00,0
26/11/2005 00:00:00,0
27/11/2005 00:00:00,0
28/11/2005 00:00:00,0
29/11/2005 00:00:00,0
30/11/2005 00:00:00,0
01/12/2005 00:00:00,0
02/12/2005 00:00:00,0
03/12/2005 00:00:00,0
04/12/2005 00:00:00,0
05/12/2005 00:00:00,0
06/12/2005 00:00:00,0
07/12/2005 00:00:00,0
08/12/2005 00:00:00,0
09/12/2005 00:00:00,0
10/12/2005 00:00:00,0
11/12/2005 00:00:00,0
12/12/2005 00:00:00,0.0001
13/12/2005 00:00:00,0.0002
14/12/2005 00:00:00,0.0033
15/12/2005 00:00:00,0.0041
16/12/2005 00:00:00,0.0033
