Date,Q_m3s
01/01/2005 00:00:00,0.251
02/01/2005 00:00:00,0.2309
03/01/2005 00:00:00,0.3012
04/01/2005 00:00:00,0.0762
05/01/2005 00:00:00,0.0867
06/01/2005 00:00:00,0.3526
07/01/2005 00:00:00,0.3715
08/01/2005 00:00:00,0.2309
09/01/2005 00:00:00,0.2008
10/01/2005 00:00:00,0.3112
11/01/2005 00:00:00,0.1104
12/01/2005 00:00:00,0.3614
13/01/2005 00:00:00,0.3514
14/01/2005 00:00:00,0.4217
15/01/2005 00:00:00,0.1882
16/01/2005 00:00:00,0.3127
17/01/2005 00:00:00,0
18/01/2005 00:00:00,0
19/01/2005 00:00:00,0.0962
20/01/2005 00:00:00,0.3616
21/01/2005 00:00:00,0
22/01/2005 00:00:00,0.0029
23/01/2005 00:00:00,0
24/01/2005 00:00:00,0
25/01/2005 00:00:00,0
26/01/2005 00:00:00,0
27/01/2005 00:00:00,0
28/01/2005 00:00:00,0
29/01/2005 00:00:00,0
30/01/2005 00:00:00,0
31/01/2005 00:00:00,0
01/02/2005 00:00:00,0
02/02/2005 00:00:00,0
03/02/2005 00:00:00,0
04/02/2005 00:00:00,0
05/02/2005 00:00:00,0
06/02/2005 00:00:00,0
07/02/2005 00:00:00,0
08/02/2005 00:00:00,0
09/02/2005 00:00:00,0
10/02/2005 00:00:00,0
11/02/2005 00:00:00,0
12/02/2005 00:00:00,0
13/02/2005 00:00:00,0
14/02/2005 00:00:00,0.0036
15/02/2005 00:00:00,0.0077
16/02/2005 00:00:00,0.1356
17/02/2005 00:00:00,0.1258
18/02/2005 00:00:00,0.1707
19/02/2005 00:00:00,0.1419
20/02/2005 00:00:00,0
21/02/2005 00:00:00,0
22/02/2005 00:00:00,0
23/02/2005 00:00:00,0
24/02/2005 00:00:00,0
25/02/2005 00:00:00,0
26/02/2005 00:00:00,0
27/02/2005 00:00:00,0
28/02/2005 00:00:00,0
01/03/2005 00:00:00,0
02/03/2005 00:00:00,0
03/03/2005 00:00:00,0
04/03/2005 00:00:00,0
05/03/2005 00:00:00,0
06/03/2005 00:00:00,0.3471
07/03/2005 00:00:00,0.1834
08/03/2005 00:00:00,0.2839
09/03/2005 00:00:00,0.3484
10/03/2005 00:00:00,0.3266
11/03/2005 00:00:00,0.2105
12/03/2005 00:00:00,0.3754
13/03/2005 00:00:00,0.3805
14/03/2005 00:00:00,0.3501
15/03/2005 00:00:00,0.3653
16/03/2005 00:00:00,0.2131
17/03/2005 00:00:00,0
18/03/2005 00:00:00,0
19/03/2005 00:00:00,0
20/03/2005 00:00:00,0
21/03/2005 00:00:00,0
22/03/2005 00:00:00,0
23/03/2005 00:00:00,0
24/03/2005 00:00:00,0
25/03/2005 00:00:00,0
26/03/2005 00:00:00,0
27/03/2005 00:00:00,0
28/03/2005 00:00:00,0
29/03/2005 00:00:00,0.0693
30/03/2005 00:00:00,0.0833
31/03/2005 00:00:00,0.1165
01/04/2005 00:00:00,0.1675
02/04/2005 00:00:00,0.2415
03/04/2005 00:00:00,0.4
04/04/2005 00:00:00,0
05/04/2005 00:00:00,0.012
06/04/2005 00:00:00,0.1503
07/04/2005 00:00:00,0.1647
08/04/2005 00:00:00,0.0771
09/04/2005 00:00:00,0.2329
10/04/2005 00:00:00,0.22
11/04/2005 00:00:00,0.1165
12/04/2005 00:00:00,0
13/04/2005 00:00:00,0.1197
14/04/2005 00:00:00,0.1717
15/04/2005 00:00:00,0.1035
16/04/2005 00:00:00,0.1035
17/04/2005 00:00:00,0.2071
18/04/2005 00:00:00,0.3395
19/04/2005 00:00:00,0.2264
20/04/2005 00:00:00,0
21/04/2005 00:00:00,0
22/04/2005 00:00:00,0
23/04/2005 00:00:00,0.1186
24/04/2005 00:00:00,0.0802
25/04/2005 00:00:00,0.1811
26/04/2005 00:00:00,0.1372
27/04/2005 00:00:00,0.1784
28/04/2005 00:00:00,0.2264
29/04/2005 00:00:00,0.1441
30/04/2005 00:00:00,0.2058
01/05/2005 00:00:00,0.1801
02/05/2005 00:00:00,0.0643
03/05/2005 00:00:00,0.1029
04/05/2005 00:00:00,0.1286
05/05/2005 00:00:00,0.1415
06/05/2005 00:00:00,0.0772
07/05/2005 00:00:00,0
08/05/2005 00:00:00,0.0551
09/05/2005 00:00:00,0.105
10/05/2005 00:00:00,0.1029
11/05/2005 00:00:00,0.1029
12/05/2005 00:00:00,0.1286
13/05/2005 00:00:00,0
14/05/2005 00:00:00,0
15/05/2005 00:00:00,0
16/05/2005 00:00:00,0
17/05/2005 00:00:00,0
18/05/2005 00:00:00,0
19/05/2005 00:00:00,0
20/05/2005 00:00:00,0
21/05/2005 00:00:00,0
22/05/2005 00:00:00,0
23/05/2005 00:00:00,0
24/05/2005 00:00:00,0
25/05/2005 00:00:00,0
26/05/2005 00:00:00,0.027
27/05/2005 00:00:00,0.0967
28/05/2005 00:00:00,0.1239
29/05/2005 00:00:00,0.0798
30/05/2005 00:00:00,0.0912
31/05/2005 00:00:00,0.1026
01/06/2005 00:00:00,0.07
02/06/2005 00:00:00,0.0637
03/06/2005 00:00:00,0.0509
04/06/2005 00:00:00,0.0764
05/06/2005 00:00:00,0.0509
06/06/2005 00:00:00,0.0637
07/06/2005 00:00:00,0.0509
08/06/2005 00:00:00,0.07
09/06/2005 00:00:00,0.0509
10/06/2005 00:00:00,0.0764
11/06/2005 00:00:00,0.0318
12/06/2005 00:00:00,0.0415
13/06/2005 00:00:00,0.0446
14/06/2005 00:00:00,0.0951
15/06/2005 00:00:00,0.1247
16/06/2005 00:00:00,0.1206
17/06/2005 00:00:00,0.142
18/06/2005 00:00:00,0.0923
19/06/2005 00:00:00,0.1192
20/06/2005 00:00:00,0.1562
21/06/2005 00:00:00,0.1562
22/06/2005 00:00:00,0.1207
23/06/2005 00:00:00,0.0284
24/06/2005 00:00:00,0
25/06/2005 00:00:00,0
26/06/2005 00:00:00,0
27/06/2005 00:00:00,0
28/06/2005 00:00:00,0
29/06/2005 00:00:00,0
30/06/2005 00:00:00,0
01/07/2005 00:00:00,0
02/07/2005 00:00:00,0
03/07/2005 00:00:00,0
04/07/2005 00:00:00,0
05/07/2005 00:00:00,0
06/07/2005 00:00:00,0
07/07/2005 00:00:00,0
08/07/2005 00:00:00,0
09/07/2005 00:00:00,0
10/07/2005 00:00:00,0
11/07/2005 00:00:00,0
12/07/2005 00:00:00,0
13/07/2005 00:00:00,0
14/07/2005 00:00:00,0
15/07/2005 00:00:00,0
16/07/2005 00:00:00,0
17/07/2005 00:00:00,0
18/07/2005 00:00:00,0
19/07/2005 00:00:00,0
20/07/2005 00:00:00,0
21/07/2005 00:00:00,0
22/07/2005 00:00:00,0
23/07/2005 00:00:00,0
24/07/2005 00:00:00,0
25/07/2005 00:00:00,0
26/07/2005 00:00:00,0
27/07/2005 00:00:00,0
28/07/2005 00:00:00,0
29/07/2005 00:00:00,0
30/07/2005 00:00:00,0
31/07/2005 00:00:00,0
01/08/2005 00:00:00,0
02/08/2005 00:00:00,0
03/08/2005 00:00:00,0
04/08/2005 00:00:00,0
05/08/2005 00:00:00,0
06/08/2005 00:00:00,0
07/08/2005 00:00:00,0
08/08/2005 00:00:00,0
09/08/2005 00:00:00,0
10/08/2005 00:00:00,0.0476
11/08/2005 00:00:00,0.0711
12/08/2005 00:00:00,0.0022
13/08/2005 00:00:00,0.0474
14/08/2005 00:00:00,0.1096
15/08/2005 00:00:00,0.1049
16/08/2005 00:00:00,0.0679
17/08/2005 00:00:00,0.0623
18/08/2005 00:00:00,0.0623
19/08/2005 00:00:00,0.0716
20/08/2005 00:00:00,0.055
21/08/2005 00:00:00,0.1059
22/08/2005 00:00:00,0.1068
23/08/2005 00:00:00,0.0838
24/08/2005 00:00:00,0.0902
25/08/2005 00:00:00,0.0515
26/08/2005 00:00:00,0.1095
27/08/2005 00:00:00,0.0322
28/08/2005 00:00:00,0.0966
29/08/2005 00:00:00,0.1031
30/08/2005 00:00:00,0.1063
31/08/2005 00:00:00,0.1353
01/09/2005 00:00:00,0.0978
02/09/2005 00:00:00,0.1267
03/09/2005 00:00:00,0.0489
04/09/2005 00:00:00,0
05/09/2005 00:00:00,0
06/09/2005 00:00:00,0.0194
07/09/2005 00:00:00,0.1346
08/09/2005 00:00:00,0.1654
09/09/2005 00:00:00,0.1637
10/09/2005 00:00:00,0.3515
11/09/2005 00:00:00,0.1797
12/09/2005 00:00:00,0.3131
13/09/2005 00:00:00,0.2783
14/09/2005 00:00:00,0.2644
15/09/2005 00:00:00,0.3479
16/09/2005 00:00:00,0.1044
17/09/2005 00:00:00,0
18/09/2005 00:00:00,0.0369
19/09/2005 00:00:00,0.1957
20/09/2005 00:00:00,0.1684
21/09/2005 00:00:00,0.2087
22/09/2005 00:00:00,0.2574
23/09/2005 00:00:00,0.2783
24/09/2005 00:00:00,0.2783
25/09/2005 00:00:00,0.1759
26/09/2005 00:00:00,0
27/09/2005 00:00:00,0
28/09/2005 00:00:00,0
29/09/2005 00:00:00,0
30/09/2005 00:00:00,0.0014
01/10/2005 00:00:00,0.1358
02/10/2005 00:00:00,0.5397
03/10/2005 00:00:00,0.4921
04/10/2005 00:00:00,0.3224
05/10/2005 00:00:00,0.3903
06/10/2005 00:00:00,0.3224
07/10/2005 00:00:00,0.3224
08/10/2005 00:00:00,0
09/10/2005 00:00:00,0.2439
10/10/2005 00:00:00,0.602
11/10/2005 00:00:00,0.4921
12/10/2005 00:00:00,0.0198
13/10/2005 00:00:00,0.1675
14/10/2005 00:00:00,0.3523
15/10/2005 00:00:00,0.2715
16/10/2005 00:00:00,0.049
17/10/2005 00:00:00,0
18/10/2005 00:00:00,0
19/10/2005 00:00:00,0
20/10/2005 00:00:00,0
21/10/2005 00:00:00,0.0342
22/10/2005 00:00:00,0.1126
23/10/2005 00:00:00,0.2432
24/10/2005 00:00:00,0.2493
25/10/2005 00:00:00,0.5373
26/10/2005 00:00:00,0.48
27/10/2005 00:00:00,0.5695
28/10/2005 00:00:00,0.3394
29/10/2005 00:00:00,0.4921
30/10/2005 00:00:00,0
31/10/2005 00:00:00,0
01/11/2005 00:00:00,0
02/11/2005 00:00:00,0
03/11/2005 00:00:00,0
04/11/2005 00:00:00,0
05/11/2005 00:00:00,0
06/11/2005 00:00:00,0
07/11/2005 00:00:00,0
08/11/2005 00:00:00,0
09/11/2005 00:00:00,0
10/11/2005 00:00:00,0
11/11/2005 00:00:00,0.0252
12/11/2005 00:00:00,0.2079
13/11/2005 00:00:00,0.3707
14/11/2005 00:00:00,0.3989
15/11/2005 00:00:00,0.3075
16/11/2005 00:00:00,0.2018
17/11/2005 00:00:00,0.3337
18/11/2005 00:00:00,0.4508
19/11/2005 00:00:00,0.4858
20/11/2005 00:00:00,0.617
21/11/2005 00:00:00,0.0692
22/11/2005 00:00:00,0.6344
23/11/2005 00:00:00,0
24/11/2005 00:00:00,0
25/11/2005 00:00:00,0
26/11/2005 00:00:00,0
27/11/2005 00:00:00,0
28/11/2005 00:00:00,0
29/11/2005 00:00:00,0
30/11/2005 00:00:00,0
01/12/2005 00:00:00,0
02/12/2005 00:00:00,0
03/12/2005 00:00:00,0
04/12/2005 00:00:00,0
05/12/2005 00:00:00,0
06/12/2005 00:00:00,0
07/12/2005 00:00:00,0
08/12/2005 00:00:00,0.0064
09/12/2005 00:00:00,0.2603
10/12/2005 00:00:00,0.583
11/12/2005 00:00:00,0.3959
12/12/2005 00:00:00,0.4105
13/12/2005 00:00:00,0.5613
14/12/2005 00:00:00,0.49
15/12/2005 00:00:00,0.4975
16/12/2005 00:00:00,0.4071
17/12/2005 00:00:00,0.0175
18/12/2005 00:00:00,0.6717
19/12/2005 00:00:00,0.4975
20/12/2005 00:00:00,0.5428
21/12/2005 00:00:00,0.6483
22/12/2005 00:00:00,0.4448
23/12/2005 00:00:00,0.5428
24/12/2005 00:00:00,0.4372
25/12/2005 00:00:00,0.6031
26/12/2005 00:00:00,0.588
27/12/2005 00:00:00,0.4071
28/12/2005 00:00:00,0.3468
29/12/2005 00:00:00,0.588
30/12/2005 00:00:00,0.5579
31/12/2005 00:00:00,0.5352
01/01/2006 00:00:00,0.6626
02/01/2006 00:00:00,0
03/01/2006 00:00:00,0.2391
04/01/2006 00:00:00,0.0316
05/01/2006 00:00:00,0.0001
06/01/2006 00:00:00,0
07/01/2006 00:00:00,0.0367
08/01/2006 00:00:00,0.2365
09/01/2006 00:00:00,0.0219
10/01/2006 00:00:00,0.2169
11/01/2006 00:00:00,0.4116
12/01/2006 00:00:00,0
13/01/2006 00:00:00,0
14/01/2006 00:00:00,0
15/01/2006 00:00:00,0
