Date,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonium_mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL
01/01/2005,0,0,24.8051371179797,0,252.59041410873,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
02/01/2005,0,0,24.8764918925008,0,251.344251726306,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
03/01/2005,0,0,24.9458110794992,0,250.106942079986,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
04/01/2005,0,0,25.0130741590243,0,248.878851439682,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
05/01/2005,0,0,25.0782612197774,0,247.660343346284,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
06/01/2005,0,0,25.1413529650052,0,246.451778504046,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
07/01/2005,0,0,25.2023307182122,0,245.253514673805,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
08/01/2005,0,0,25.2611764286895,0,244.065906567085,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
09/01/2005,0,0,25.317872676858,0,242.889305741087,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
10/01/2005,0,0,25.3724026794253,0,241.724060494622,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
11/01/2005,0,0,25.4247502943533,0,240.570515765012,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
12/01/2005,0,0,25.4749000256372,0,239.429013025974,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
13/01/2005,0,0,25.5228370278924,0,238.299890186543,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
14/01/2005,0,0,25.5685471107489,0,237.18348149104,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
15/01/2005,0,0,25.6120167430522,0,236.08011742013,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
16/01/2005,0,0,25.6532330568687,0,234.990124592991,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
17/01/2005,0,0,25.6921838512949,0,233.91382567063,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
18/01/2005,0,0,25.7288575960691,0,232.851539260369,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
19/01/2005,0,0,25.7632434349846,0,231.803579821526,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
20/01/2005,0,0,25.7953311891033,0,230.770257572335,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
21/01/2005,0,0,25.8251113597692,0,229.751878398107,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
22/01/2005,0,0,25.8525751314198,0,228.74874376069,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
23/01/2005,0,0,25.8777143741959,0,227.761150609223,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
24/01/2005,0,0,25.9005216463481,0,226.789391292236,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
25/01/2005,0,0,25.9209901964399,0,225.833753471109,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
26/01/2005,0,0,25.9391139653462,0,224.894520034914,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
27/01/2005,0,0,25.9548875880467,0,223.971969016682,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
28/01/2005,0,0,25.9683063952143,0,223.066373511089,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
29/01/2005,0,0,25.9793664145975,0,222.178001593623,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
30/01/2005,0,0,25.9880643721958,0,221.307116241223,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
31/01/2005,0,0,25.9943976932292,0,220.453975254433,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
01/02/2005,0,0,25.9983645029001,0,219.618831181091,0,0,0,0,0,400,25,0,0,0,0,0.01375,0.011,0.01375,0.01375,0,0,0,0
02/02/2005,0.00545917206994738,0.393335457110322,25.9999636269489,20.0531889164981,218.801931241564,0,1.74284804095576,6.97139216382305,0.32524522915633,0,400,25,4.64759477588204,15.6856323686019,0.13694535964477,0.393717908978715,0.01375,0.011,0.01375,0.01375,0,0,0,0
03/02/2005,0.00565588433696718,0.51165928443993,25.9991945920008,12.0071686580847,218.00351725557,0,1.23574592382887,4.94298369531548,0.209211540420197,0,400,25,3.29532246354365,11.1217133144598,0.0880890696506094,0.253256075245502,0.01375,0.011,0.01375,0.01375,0,0,0,0
04/02/2005,0.00353067369154154,0.5462610119713,25.9960576257065,9.65425118595158,217.22382557059,0,1.08745280583728,4.34981122334914,0.175279523744273,0,400,25,2.89987414889942,9.78707525253556,0.0738019047344308,0.212180476111489,0.01375,0.011,0.01375,0.01375,0,0,0,0
05/02/2005,0.00138317121195603,0.547295223082612,25.9905536566747,9.58392483038237,216.463086991908,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252782,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
06/02/2005,0.000590201571943488,0.547295223082612,25.9826843141968,9.58392483038237,215.721526714289,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252782,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
07/02/2005,0.000275665907734537,0.547295223082612,25.9724519277653,9.58392483038237,214.999364255309,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252782,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
08/02/2005,0.000138824148552145,0.547295223082612,25.9598595263838,9.58392483038237,214.296813390382,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252781,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
09/02/2005,7.44963577857574e-05,0.547295223082612,25.9449108376702,9.58392483038237,213.614082089472,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252781,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
10/02/2005,4.2175141698331e-05,0.547295223082612,25.9276102867536,9.58392483038237,212.951372455532,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252781,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
11/02/2005,2.50131990125024e-05,0.547295223082612,25.9079629949642,9.58392483038237,212.308880664676,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252781,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
12/02/2005,1.54387844309461e-05,0.547295223082612,25.8859747783173,9.58392483038237,211.686796908109,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252781,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
13/02/2005,9.86630571962742e-06,0.547295223082612,25.8616521457917,9.58392483038237,211.085305335824,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252781,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
14/02/2005,6.50040440757962e-06,0.547295223082612,25.8350022974027,9.58392483038237,210.50458400209,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252781,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
15/02/2005,4.39966815222475e-06,0.547295223082612,25.8060331220709,9.58392483038237,209.944804812745,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252781,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
16/02/2005,3.04990023890248e-06,0.547295223082612,25.774753195287,9.58392483038237,209.406133474307,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252781,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
17/02/2005,2.15986596711496e-06,0.547295223082612,25.7411717765731,9.58392483038237,208.888729444924,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252781,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
18/02/2005,1.55916998398759e-06,0.547295223082612,25.7052988067417,9.58392483038237,208.392745887169,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252781,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
19/02/2005,1.171026229055e-06,0.547295223082612,25.6671449049533,9.58392483038237,207.918329622699,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252781,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
20/02/2005,8.66405877991166e-07,0.547295223082612,25.6267213655722,9.58392483038237,207.465621088795,0,1.08302047250309,4.33208189001236,0.174265329622213,0,400,25,2.88805459334157,9.74718425252781,0.0733748756304053,0.210952767437415,0.01375,0.011,0.01375,0.01375,0,0,0,0
21/02/2005,0.0385486390226248,0.295998891280577,25.5840401548241,26.6720753929208,207.034754296791,0,2.16000475165467,8.64001900661868,0.420697861453886,0,400,25,5.76001267107912,19.440042764892,0.177135941664794,0.509265832286283,0.01375,0.011,0.01375,0.01375,0,0,0,0
22/02/2005,0.031259327440144,0.46881192569617,25.5391139072529,14.9207890526604,206.625856792401,0,1.41937746130213,5.67750984520851,0.251229595446336,0,400,25,3.78500656347234,12.7743971517192,0.105780882293194,0.304120036592934,0.01375,0.011,0.01375,0.01375,0,0,0,0
23/02/2005,0.021664983461578,0.541510332161729,25.4919559219814,9.97729741300246,206.239049617962,0,1.10781286216402,4.43125144865608,0.179938254912369,0,400,25,2.95416763243739,9.97031575947618,0.0757634757525766,0.217819992788658,0.01375,0.011,0.01375,0.01375,0,0,0,0
24/02/2005,0.0130778804185431,0.568880501614035,25.4425801587739,8.1161258902456,205.874447276606,0,0.990512135939849,3.9620485437594,0.153097830675269,0,400,25,2.6413656958396,8.91460922345864,0.06446224449485,0.185328952922694,0.01375,0.011,0.01375,0.01375,0,0,0,0
25/02/2005,0.00744908127845366,0.581377484508626,25.391001233904,7.26633105341346,205.532157698364,0,0.936953637820176,3.7478145512807,0.140842724868961,0,400,25,2.49854303418714,8.43258274038158,0.0593021999448256,0.170493824841373,0.01375,0.011,0.01375,0.01375,0,0,0,0
26/02/2005,0.0052857748012898,0.59025277860814,25.3372344158281,6.66281105464647,205.212282208215,0,0.898916663107971,3.59566665243188,0.132139210655243,0,400,25,2.39711110162126,8.09024996797174,0.055637562381155,0.159957991845821,0.01375,0.011,0.01375,0.01375,0,0,0,0
27/02/2005,0.00549962410661953,0.596261734322556,25.2812956206654,6.25420206606617,204.91491549609,0,0.873163995760473,3.49265598304189,0.126246557309493,0,400,25,2.32843732202793,7.85847596184425,0.0531564451829445,0.152824779900965,0.01375,0.011,0.01375,0.01375,0,0,0,0
28/02/2005,0.00199968348704925,0.596261734322557,25.2232014074861,6.25420206606617,204.640145588848,0,0.873163995760472,3.49265598304189,0.126246557309493,0,400,25,2.32843732202793,7.85847596184425,0.0531564451829445,0.152824779900965,0.01375,0.011,0.01375,0.01375,0,0,0,0
01/03/2005,0.000818889087859781,0.596261734322556,25.1629689734102,6.25420206606617,204.388053824211,0,0.873163995760473,3.49265598304189,0.126246557309493,0,400,25,2.32843732202793,7.85847596184426,0.0531564451829444,0.152824779900965,0.01375,0.011,0.01375,0.01375,0,0,0,0
02/03/2005,0.000369697189722752,0.596261734322556,25.1006161485163,6.25420206606617,204.158714826692,0,0.873163995760473,3.49265598304189,0.126246557309493,0,400,25,2.32843732202793,7.85847596184426,0.0531564451829445,0.152824779900965,0.01375,0.011,0.01375,0.01375,0,0,0,0
03/03/2005,0.000180971793793189,0.596261734322556,25.0361613905638,6.25420206606617,203.952196485501,0,0.873163995760473,3.49265598304189,0.126246557309493,0,400,25,2.32843732202793,7.85847596184426,0.0531564451829445,0.152824779900965,0.01375,0.011,0.01375,0.01375,0,0,0,0
04/03/2005,9.48020615882106e-05,0.596261734322556,24.9696237795288,6.25420206606617,203.768559934448,0,0.873163995760473,3.49265598304189,0.126246557309493,0,400,25,2.32843732202793,7.85847596184426,0.0531564451829445,0.152824779900965,0.01375,0.011,0.01375,0.01375,0,0,0,0
05/03/2005,5.25938845420111e-05,0.596261734322556,24.9010230119562,6.25420206606617,203.60785953385,0,0.873163995760473,3.49265598304189,0.126246557309493,0,400,25,2.32843732202793,7.85847596184426,0.0531564451829445,0.152824779900965,0.01375,0.011,0.01375,0.01375,0,0,0,0
06/03/2005,3.0639907916622e-05,0.596261734322556,24.8303793951287,6.25420206606617,203.470142854435,0,0.873163995760473,3.49265598304189,0.126246557309493,0,400,25,2.32843732202793,7.85847596184425,0.0531564451829445,0.152824779900965,0.01375,0.011,0.01375,0.01375,0,0,0,0
07/03/2005,1.86261431249592e-05,0.596261734322556,24.7577138410562,6.25420206606616,203.355450663264,0,0.873163995760473,3.49265598304189,0.126246557309493,0,400,25,2.32843732202793,7.85847596184425,0.0531564451829445,0.152824779900965,0.01375,0.011,0.01375,0.01375,0,0,0,0
08/03/2005,1.17461262825656e-05,0.596261734322556,24.6830478602847,6.25420206606617,203.263816911658,0,0.873163995760473,3.49265598304189,0.126246557309493,0,400,25,2.32843732202793,7.85847596184426,0.0531564451829445,0.152824779900965,0.01375,0.011,0.01375,0.01375,0,0,0,0
09/03/2005,7.64906708075511e-06,0.596261734322556,24.6064035555288,6.25420206606617,203.195268725153,0,0.873163995760473,3.49265598304189,0.126246557309493,0,400,25,2.32843732202793,7.85847596184426,0.0531564451829445,0.152824779900965,0.01375,0.011,0.01375,0.01375,0,0,0,0
10/03/2005,5.12390741060821e-06,0.596261734322556,24.5278036151292,6.25420206606616,203.149826395466,0,0.873163995760473,3.49265598304189,0.126246557309493,0,400,25,2.32843732202793,7.85847596184426,0.0531564451829445,0.152824779900965,0.01375,0.011,0.01375,0.01375,0,0,0,0
